,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,id,id_nlp_help,id_nlp
12,2609,11,2,63684,17257553576.44,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102,63684110217257554,sechsdreisechsachtviereinseinsnullzweieinssiebenzweifünfsiebenfünffünfvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung
13,5178,60,1,3602,16850667209.82,Versicherungsteuer,36026001,03602600116850667,nulldreisechsnullzweisechsnullnulleinseinssechsachtfünfnullsechssechssieben  Versicherungsteuer
14,5151,32,5,57509,14862929002.62,"Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen",575093205,57509320514862929,"fünfsiebenfünfnullneundreizweinullfünfeinsvierachtsechszweineunzweineun  Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen"
15,5172,60,1,3202,14671808979.16,Tabaksteuer,32026001,03202600114671809,nulldreizweinullzweisechsnullnulleinseinsviersechssiebeneinsachtnullneun  Tabaksteuer
16,3872,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501,63606150114500000,sechsdreisechsnullsechseinsfünfnulleinseinsvierfünfnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds)
17,5146,32,5,57501,13027240318.05,Zinsen für Bundesanleihen,575013205,57501320513027240,fünfsiebenfünfnulleinsdreizweinullfünfeinsdreinullzweisiebenzweiviernull  Zinsen für Bundesanleihen
18,2587,11,1,63211,11576313537.71,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101,63211110111576314,sechsdreizweieinseinseinseinsnulleinseinseinsfünfsiebensechsdreieinsvier  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung
19,2607,11,2,63682,11542778000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102,63682110211542778,sechsdreisechsachtzweieinseinsnullzweieinseinsfünfvierzweisiebensiebenacht  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet
20,2594,11,2,63201,9835967002.01,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102,6320111029835967,sechsdreizweinulleinseinseinsnullzweineunachtdreifünfneunsechssieben  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung
21,5180,60,1,3801,9514261802.27,Kfz-Steuer,38016001,0380160019514262,nulldreiachtnulleinssechsnullnulleinsneunfünfeinsvierzweisechszwei  Kfz-Steuer
22,5218,60,2,68501,9318500000.0,Zuschuss an die Postbeamtenversorgungskasse,685016002,6850160029318500,sechsachtfünfnulleinssechsnullnullzweineundreieinsachtfünfnullnull  Zuschuss an die Postbeamtenversorgungskasse
23,3609,14,3,42301,8296839741.13,"Bezüge und Nebenleistungen der Berufssoldatinnen und Berufssoldaten, der Soldatinnen und Soldaten auf Zeit sowie Ausbildungsgeld für Anwärterinnen und Anwärter der Sanitätsoffizierslaufbahn",423011403,4230114038296840,"vierzweidreinulleinseinsviernulldreiachtzweineunsechsachtviernull  Bezüge und Nebenleistungen der Berufssoldatinnen und Berufssoldaten, der Soldatinnen und Soldaten auf Zeit sowie Ausbildungsgeld für Anwärterinnen und Anwärter der Sanitätsoffizierslaufbahn"
24,5150,32,5,57508,8158238812.72,Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),575083205,5750832058158239,fünfsiebenfünfnullachtdreizweinullfünfachteinsfünfachtzweidreineun  Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG)
25,4425,17,1,68102,7443913915.69,Elterngeld,681021701,6810217017443914,sechsachteinsnullzweieinssiebennulleinssiebenviervierdreineuneinsvier  Elterngeld
26,2886,12,1,11122,7409238614.64,Einnahmen aus der streckenbezogenen Maut,111221201,1112212017409239,einseinseinszweizweieinszweinulleinssiebenviernullneunzweidreineun  Einnahmen aus der streckenbezogenen Maut
27,5179,60,1,3703,6831904848.1,Stromsteuer,37036001,0370360016831905,nulldreisiebennulldreisechsnullnulleinssechsachtdreieinsneunnullfünf  Stromsteuer
28,2588,11,1,63613,6318377623.75,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101,6361311016318378,sechsdreisechseinsdreieinseinsnulleinssechsdreieinsachtdreisiebenacht  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende
29,5232,60,2,86622,6300000000.0,Darlehen an den Resilience and Sustainability Trust (RST) des IWF,866226002,8662260026300000,achtsechssechszweizweisechsnullnullzweisechsdreinullnullnullnullnull  Darlehen an den Resilience and Sustainability Trust (RST) des IWF
30,2923,12,1,89111,5943542745.86,"Investitionen der ""Die Autobahn GmbH des Bundes""",891111201,8911112015943543,"achtneuneinseinseinseinszweinulleinsfünfneunvierdreifünfvierdrei  Investitionen der ""Die Autobahn GmbH des Bundes"""
31,5220,60,2,68703,5423545805.07,"Ertüchtigung von Partnerstaaten im Bereich Sicherheit, Verteidigung und Stabilisierung",687036002,6870360025423546,"sechsachtsiebennulldreisechsnullnullzweifünfvierzweidreifünfviersechs  Ertüchtigung von Partnerstaaten im Bereich Sicherheit, Verteidigung und Stabilisierung"
32,2972,12,2,89111,5364604000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111202,8911112025364604,achtneuneinseinseinseinszweinullzweifünfdreisechsviersechsnullvier  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes
33,3270,12,16,63401,5218166000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011216,6340112165218166,sechsdreiviernulleinseinszweieinssechsfünfzweieinsachteinssechssechs  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens
34,2604,11,2,63616,4948454325.56,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636161102,6361611024948454,sechsdreisechseinssechseinseinsnullzweivierneunvierachtvierfünfvier  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung
35,5198,60,2,27202,3995861430.0,Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union,272026002,2720260023995861,zweisiebenzweinullzweisechsnullnullzweidreineunneunfünfachtsechseins  Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union
36,5182,60,1,4401,3944294633.2,Solidaritätszuschlag zur Lohnsteuer,44016001,0440160013944295,nullvierviernulleinssechsnullnulleinsdreineunviervierzweineunfünf  Solidaritätszuschlag zur Lohnsteuer
37,2590,11,1,68511,3814147386.72,Leistungen zur Eingliederung in Arbeit,685111101,6851111013814147,sechsachtfünfeinseinseinseinsnulleinsdreiachteinsviereinsviersieben  Leistungen zur Eingliederung in Arbeit
38,5168,60,1,1803,3679114346.01,Abgeltungsteuer auf Zins- und Veräußerungserträge,18036001,0180360013679114,nulleinsachtnulldreisechsnullnulleinsdreisechssiebenneuneinseinsvier  Abgeltungsteuer auf Zins- und Veräußerungserträge
39,3629,14,3,43353,3545180230.18,Versorgungsbezüge,433531403,4335314033545180,vierdreidreifünfdreieinsviernulldreidreifünfvierfünfeinsachtnull  Versorgungsbezüge
40,2602,11,2,63612,3542804000.0,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,636121102,6361211023542804,sechsdreisechseinszweieinseinsnullzweidreifünfvierzweiachtnullvier  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV
41,5183,60,1,4402,3382079283.87,Solidaritätszuschlag zur Einkommensteuer,44026001,0440260013382079,nullvierviernullzweisechsnullnulleinsdreidreiachtzweinullsiebenneun  Solidaritätszuschlag zur Einkommensteuer
42,3704,14,6,55311,2952729182.95,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",553111406,5531114062952729,"fünffünfdreieinseinseinsviernullsechszweineunfünfzweisiebenzweineun  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät"
43,3744,14,8,51802,2846770269.25,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021408,5180214082846770,fünfeinsachtnullzweieinsviernullachtzweiachtviersechssiebensiebennull  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement
44,5167,60,1,1701,2685443041.13,Gewerbesteuerumlage,17016001,0170160012685443,nulleinssiebennulleinssechsnullnulleinszweisechsachtfünfviervierdrei  Gewerbesteuerumlage
45,531,5,1,68732,2685092753.12,Humanitäre Hilfsmaßnahmen im Ausland,687320501,6873205012685093,sechsachtsiebendreizweinullfünfnulleinszweisechsachtfünfnullneundrei  Humanitäre Hilfsmaßnahmen im Ausland
46,5171,60,1,3104,2627869907.85,Energiesteuer (aus dem Verbrauch von Erdgas),31046001,0310460012627870,nulldreieinsnullviersechsnullnulleinszweisechszweisiebenachtsiebennull  Energiesteuer (aus dem Verbrauch von Erdgas)
47,5185,60,1,4404,2474951619.8,Solidaritätszuschlag zur Körperschaftsteuer,44046001,0440460012474952,nullvierviernullviersechsnullnulleinszweiviersiebenvierneunfünfzwei  Solidaritätszuschlag zur Körperschaftsteuer
48,5083,30,4,68570,2412682158.43,HGF-Zentren - Betrieb,685703004,6857030042412682,sechsachtfünfsiebennulldreinullnullvierzweiviereinszweisechsachtzwei  HGF-Zentren - Betrieb
49,2240,10,1,63601,2406144953.24,Zuschüsse zur Alterssicherung der Landwirte,636011001,6360110012406145,sechsdreisechsnulleinseinsnullnulleinszweiviernullsechseinsvierfünf  Zuschüsse zur Alterssicherung der Landwirte
50,4840,25,1,63201,2363962259.37,Wohngeld nach dem Wohngeldgesetz,632012501,6320125012363962,sechsdreizweinulleinszweifünfnulleinszweidreisechsdreineunsechszwei  Wohngeld nach dem Wohngeldgesetz
51,3846,14,13,42801,2354934802.39,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428011413,4280114132354935,vierzweiachtnulleinseinsviereinsdreizweidreifünfvierneundreifünf  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
52,5242,60,4,12101,2337000000.0,Abführung der Bundesanstalt für Immobilienaufgaben,121016004,1210160042337000,einszweieinsnulleinssechsnullnullvierzweidreidreisiebennullnullnull  Abführung der Bundesanstalt für Immobilienaufgaben
53,2907,12,1,68212,2299803163.97,"Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung",682121201,6821212012299803,"sechsachtzweieinszweieinszweinulleinszweizweineunneunachtnulldrei  Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung"
54,1209,6,25,42201,2221172011.51,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422010625,4220106252221172,vierzweizweinulleinsnullsechszweifünfzweizweizweieinseinssiebenzwei  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
55,5173,60,1,3301,2158963119.29,Alkoholsteuer,33016001,0330160012158963,nulldreidreinulleinssechsnullnulleinszweieinsfünfachtneunsechsdrei  Alkoholsteuer
56,5142,32,5,16212,2054391198.92,Zinseinnahmen aus dem Kassenmanagement des Bundes,162123205,1621232052054391,einssechszweieinszweidreizweinullfünfzweinullfünfvierdreineuneins  Zinseinnahmen aus dem Kassenmanagement des Bundes
57,5028,30,3,68530,2038971000.0,DFG - Laufende Zwecke,685303003,6853030032038971,sechsachtfünfdreinulldreinullnulldreizweinulldreiachtneunsiebeneins  DFG - Laufende Zwecke
58,3873,15,1,63608,2000000000.0,Ergänzender Bundeszuschuss an den Gesundheitsfonds,636081501,6360815012000000,sechsdreisechsnullachteinsfünfnulleinszweinullnullnullnullnullnull  Ergänzender Bundeszuschuss an den Gesundheitsfonds
59,5184,60,1,4403,1977113003.46,Solidaritätszuschlag zu den nicht veranlagten Steuern vom Ertrag (ohne das in Tit. 044 06 erfasste Aufkommen),44036001,0440360011977113,nullvierviernulldreisechsnullnulleinseinsneunsiebensiebeneinseinsdrei  Solidaritätszuschlag zu den nicht veranlagten Steuern vom Ertrag (ohne das in Tit. 044 06 erfasste Aufkommen)
60,5013,30,3,63205,1936400000.0,Zukunftsvertrag Studium und Lehre stärken,632053003,6320530031936400,sechsdreizweinullfünfdreinullnulldreieinsneundreisechsviernullnull  Zukunftsvertrag Studium und Lehre stärken
61,1751,8,13,42201,1925551706.27,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422010813,4220108131925552,vierzweizweinulleinsnullachteinsdreieinsneunzweifünffünffünfzwei  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
62,4746,23,1,89611,1910289526.52,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,896112301,8961123011910290,achtneunsechseinseinszweidreinulleinseinsneuneinsnullzweineunnull  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse
63,2962,12,2,89101,1902000000.0,Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene,891011202,8910112021902000,achtneuneinsnulleinseinszweinullzweieinsneunnullzweinullnullnull  Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene
64,4743,23,1,89603,1876017320.04,Bilaterale Technische Zusammenarbeit,896032301,8960323011876017,achtneunsechsnulldreizweidreinulleinseinsachtsiebensechsnulleinssieben  Bilaterale Technische Zusammenarbeit
65,4432,17,1,68113,1864338116.22,Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz,681131701,6811317011864338,sechsachteinseinsdreieinssiebennulleinseinsachtsechsvierdreidreiacht  Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz
66,2593,11,2,23201,1713996569.61,Erstattungen für Aufwendungen aufgrund der Überführung von Zusatzversorgungssystemen in die Rentenversicherung,232011102,2320111021713997,zweidreizweinulleinseinseinsnullzweieinssiebeneinsdreineunneunsieben  Erstattungen für Aufwendungen aufgrund der Überführung von Zusatzversorgungssystemen in die Rentenversicherung
67,5193,60,2,12101,1678402449.92,Gewinne aus Unternehmen und Beteiligungen,121016002,1210160021678402,einszweieinsnulleinssechsnullnullzweieinssechssiebenachtviernullzwei  Gewinne aus Unternehmen und Beteiligungen
68,3834,14,13,53201,1627952000.0,Aufträge und Dienstleistungen im Bereich Informationstechnik,532011413,5320114131627952,fünfdreizweinulleinseinsviereinsdreieinssechszweisiebenneunfünfzwei  Aufträge und Dienstleistungen im Bereich Informationstechnik
69,5000,30,2,63251,1564409567.27,BAföG - Studierende,632513002,6325130021564410,sechsdreizweifünfeinsdreinullnullzweieinsfünfsechsvierviereinsnull  BAföG - Studierende
70,3842,14,13,42201,1549255391.98,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422011413,4220114131549255,vierzweizweinulleinseinsviereinsdreieinsfünfvierneunzweifünffünf  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
71,2912,12,1,74142,1506710539.02,Erhaltung (Bundesstraßen),741421201,7414212011506711,siebenviereinsvierzweieinszweinulleinseinsfünfnullsechssiebeneinseins  Erhaltung (Bundesstraßen)
72,5197,60,2,26601,1500177123.44,Erhebungskostenpauschale,266016002,2660160021500177,zweisechssechsnulleinssechsnullnullzweieinsfünfnullnulleinssiebensieben  Erhebungskostenpauschale
73,3871,15,1,63603,1498111341.8,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,636031501,6360315011498111,sechsdreisechsnulldreieinsfünfnulleinseinsvierneunachteinseinseins  Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen
74,5181,60,1,3901,1485508933.17,Luftverkehrsteuer,39016001,0390160011485509,nulldreineunnulleinssechsnullnulleinseinsvierachtfünffünfnullneun  Luftverkehrsteuer
75,2243,10,1,63604,1467666000.0,Zuschüsse zur Krankenversicherung der Landwirte,636041001,6360410011467666,sechsdreisechsnullviereinsnullnulleinseinsviersechssiebensechssechssechs  Zuschüsse zur Krankenversicherung der Landwirte
76,2610,11,2,63685,1433032523.41,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",636851102,6368511021433033,"sechsdreisechsachtfünfeinseinsnullzweieinsvierdreidreinulldreidrei  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen"
77,3739,14,8,51701,1391376017.92,"Bewirtschaftung der Grundstücke, Gebäude und Räume",517011408,5170114081391376,"fünfeinssiebennulleinseinsviernullachteinsdreineuneinsdreisiebensechs  Bewirtschaftung der Grundstücke, Gebäude und Räume"
78,5211,60,2,63401,1364520003.84,"Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""",634016002,6340160021364520,"sechsdreiviernulleinssechsnullnullzweieinsdreisechsvierfünfzweinull  Zuweisung an das Sondervermögen ""Aufbauhilfe 2021"""
79,5156,32,8,11103,1347980366.87,Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen aus dem Ausland,111033208,1110332081347980,einseinseinsnulldreidreizweinullachteinsdreiviersiebenneunachtnull  Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen aus dem Ausland
80,1642,8,1,69931,1342278957.22,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,699310801,6993108011342279,sechsneunneundreieinsnullachtnulleinseinsdreivierzweizweisiebenneun  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen
81,5154,32,5,57521,1328685251.72,Zinsen für das Kassenmanagement des Bundes,575213205,5752132051328685,fünfsiebenfünfzweieinsdreizweinullfünfeinsdreizweiachtsechsachtfünf  Zinsen für das Kassenmanagement des Bundes
82,3690,14,5,55417,1328620000.0,Beschaffung des Waffensystems Eurofighter,554171405,5541714051328620,fünffünfviereinssiebeneinsviernullfünfeinsdreizweiachtsechszweinull  Beschaffung des Waffensystems Eurofighter
83,4741,23,1,68706,1238593645.24,"Krisenbewältigung und Wiederaufbau, Infrastruktur",687062301,6870623011238594,"sechsachtsiebennullsechszweidreinulleinseinszweidreiachtfünfneunvier  Krisenbewältigung und Wiederaufbau, Infrastruktur"
84,5160,32,8,87601,1227718819.47,"Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",876013208,8760132081227719,"achtsiebensechsnulleinsdreizweinullachteinszweizweisiebensiebeneinsneun  Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden"
85,3897,15,3,68407,1189864414.21,Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2,684071503,6840715031189864,sechsachtviernullsiebeneinsfünfnulldreieinseinsachtneunachtsechsvier  Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2
86,4850,25,1,88206,1182077432.87,Sozialer Wohnungsbau,882062501,8820625011182077,achtachtzweinullsechszweifünfnulleinseinseinsachtzweinullsiebensieben  Sozialer Wohnungsbau
87,2961,12,2,83101,1125000000.0,Erhöhung des Eigenkapitals der Deutschen Bahn AG,831011202,8310112021125000,achtdreieinsnulleinseinszweinullzweieinseinszweifünfnullnullnull  Erhöhung des Eigenkapitals der Deutschen Bahn AG
88,5155,32,8,11102,1090173365.24,Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen aus dem Inland,111023208,1110232081090173,einseinseinsnullzweidreizweinullachteinsnullneunnulleinssiebendrei  Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen aus dem Inland
89,4424,17,1,63207,1074553082.89,Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,632071701,6320717011074553,sechsdreizweinullsiebeneinssiebennulleinseinsnullsiebenvierfünffünfdrei  Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes
90,5177,60,1,3502,1030228371.84,Kaffeesteuer,35026001,0350260011030228,nulldreifünfnullzweisechsnullnulleinseinsnulldreinullzweizweiacht  Kaffeesteuer
91,1891,9,3,89302,1019651475.63,"Finanzierungen für Investitionen sowie Ausgaben für den Betrieb von Schwimmenden Speicher- und Regasifizierungseinheiten (Floating Storage and Regasification Units, FSRU)",893020903,8930209031019651,"achtneundreinullzweinullneunnulldreieinsnulleinsneunsechsfünfeins  Finanzierungen für Investitionen sowie Ausgaben für den Betrieb von Schwimmenden Speicher- und Regasifizierungseinheiten (Floating Storage and Regasification Units, FSRU)"
92,5031,30,3,68540,1002850000.0,MPG - Betrieb,685403003,6854030031002850,sechsachtfünfviernulldreinullnulldreieinsnullnullzweiachtfünfnull  MPG - Betrieb
93,3874,15,1,85601,1000000000.0,Überjähriges Darlehen an den Gesundheitsfonds,856011501,8560115011000000,achtfünfsechsnulleinseinsfünfnulleinseinsnullnullnullnullnullnull  Überjähriges Darlehen an den Gesundheitsfonds
94,3878,15,2,63603,1000000000.0,Pauschale Beteiligung des Bundes an den Aufwendungen der sozialen Pflegeversicherung,636031502,6360315021000000,sechsdreisechsnulldreieinsfünfnullzweieinsnullnullnullnullnullnull  Pauschale Beteiligung des Bundes an den Aufwendungen der sozialen Pflegeversicherung
95,854,6,3,68412,967597188.13,Durchführung von Integrationskursen nach der Integrationskursverordnung,684120603,684120603967597,sechsachtviereinszweinullsechsnulldreineunsechssiebenfünfneunsieben  Durchführung von Integrationskursen nach der Integrationskursverordnung
96,5169,60,1,3102,955579914.7,Energiesteuer (aus dem Verbrauch von anderen Heizstoffen als von Erdgas),31026001,031026001955580,nulldreieinsnullzweisechsnullnulleinsneunfünffünffünfachtnull  Energiesteuer (aus dem Verbrauch von anderen Heizstoffen als von Erdgas)
97,284,4,14,54101,945405669.1,Zuschuss an den Bundesnachrichtendienst,541010414,541010414945406,fünfviereinsnulleinsnullviereinsvierneunvierfünfviernullsechs  Zuschuss an den Bundesnachrichtendienst
98,4769,23,4,68701,943233510.14,Zahlungen an Einrichtungen der Weltbankgruppe,687012304,687012304943234,sechsachtsiebennulleinszweidreinullvierneunvierdreizweidreivier  Zahlungen an Einrichtungen der Weltbankgruppe
99,3791,14,11,43257,926810528.88,Versorgungsbezüge,432571411,432571411926811,vierdreizweifünfsiebeneinsviereinseinsneunzweisechsachteinseins  Versorgungsbezüge
100,5287,60,67,63642,926599536.04,Erstattung an Sozialversicherungsträger für Rentenleistungen an Angehörige der ehemaligen Nationalen Volksarmee und ihre Hinterbliebenen,636426067,636426067926600,sechsdreisechsvierzweisechsnullsechssiebenneunzweisechssechsnullnull  Erstattung an Sozialversicherungsträger für Rentenleistungen an Angehörige der ehemaligen Nationalen Volksarmee und ihre Hinterbliebenen
101,1858,9,1,89631,902102165.97,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,896310901,896310901902102,achtneunsechsdreieinsnullneunnulleinsneunnullzweieinsnullzwei  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris
102,5192,60,2,11999,901358933.26,Vermischte Einnahmen,119996002,119996002901359,einseinsneunneunneunsechsnullnullzweineunnulleinsdreifünfneun  Vermischte Einnahmen
103,1690,8,11,43257,896466440.23,Versorgungsbezüge,432570811,432570811896466,vierdreizweifünfsiebennullachteinseinsachtneunsechsviersechssechs  Versorgungsbezüge
104,5258,60,67,23243,880658374.26,"Erstattungen der Länder im Beitrittsgebiet für Rentenleistungen an Angehörige der ehemaligen Deutschen Volkspolizei, der Feuerwehr und des Strafvollzugs und ihre Hinterbliebenen",232436067,232436067880658,"zweidreizweivierdreisechsnullsechssiebenachtachtnullsechsfünfacht  Erstattungen der Länder im Beitrittsgebiet für Rentenleistungen an Angehörige der ehemaligen Deutschen Volkspolizei, der Feuerwehr und des Strafvollzugs und ihre Hinterbliebenen"
105,3766,14,10,11999,878932996.44,Vermischte Einnahmen,119991410,119991410878933,einseinsneunneunneuneinsviereinsnullachtsiebenachtneundreidrei  Vermischte Einnahmen
106,5288,60,67,63643,868952125.26,"Erstattung an Sozialversicherungsträger für Rentenleistungen an Angehörige der ehemaligen Deutschen Volkspolizei, der Feuerwehr und des Strafvollzugs und ihre Hinterbliebenen",636436067,636436067868952,"sechsdreisechsvierdreisechsnullsechssiebenachtsechsachtneunfünfzwei  Erstattung an Sozialversicherungsträger für Rentenleistungen an Angehörige der ehemaligen Deutschen Volkspolizei, der Feuerwehr und des Strafvollzugs und ihre Hinterbliebenen"
