,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp
33,12,16,63401,5218166000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,634011216,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens
34,11,2,63616,4948454325.56,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,636161102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung
35,60,2,27202,3995861430.0,Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union,Allgemeine Finanzverwaltung,272026002,Allgemeine Finanzverwaltung nullzweizweisiebenzweinullzwei ,Allgemeine Finanzverwaltung nullzweizweisiebenzweinullzwei  Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union
37,11,1,68511,3814147386.72,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111101,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit
39,14,3,43353,3545180230.18,Versorgungsbezüge,Bundesministerium der Verteidigung,433531403,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei ,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei  Versorgungsbezüge
40,11,2,63612,3542804000.0,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636121102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV
42,14,6,55311,2952729182.95,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111406,Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins ,"Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät"
43,14,8,51802,2846770269.25,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021408,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei ,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement
45,5,1,68732,2685092753.12,Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,687320501,Auswärtiges Amt nulleinssechsachtsiebendreizwei ,Auswärtiges Amt nulleinssechsachtsiebendreizwei  Humanitäre Hilfsmaßnahmen im Ausland
49,10,1,63601,2406144953.24,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte
50,25,1,63201,2363962259.37,Wohngeld nach dem Wohngeldgesetz,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",632012501,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinssechsdreizweinulleins ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinssechsdreizweinulleins  Wohngeld nach dem Wohngeldgesetz"
51,14,13,42801,2354934802.39,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,428011413,Bundesministerium der Verteidigung einsdreivierzweiachtnulleins ,Bundesministerium der Verteidigung einsdreivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
53,12,1,68212,2299803163.97,"Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung",Bundesministerium für Digitales und Verkehr,682121201,Bundesministerium für Digitales und Verkehr nulleinssechsachtzweieinszwei ,"Bundesministerium für Digitales und Verkehr nulleinssechsachtzweieinszwei  Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung"
58,15,1,63608,2000000000.0,Ergänzender Bundeszuschuss an den Gesundheitsfonds,Bundesministerium für Gesundheit,636081501,Bundesministerium für Gesundheit nulleinssechsdreisechsnullacht ,Bundesministerium für Gesundheit nulleinssechsdreisechsnullacht  Ergänzender Bundeszuschuss an den Gesundheitsfonds
60,30,3,63205,1936400000.0,Zukunftsvertrag Studium und Lehre stärken,Bundesministerium für Bildung und Forschung,632053003,Bundesministerium für Bildung und Forschung nulldreisechsdreizweinullfünf ,Bundesministerium für Bildung und Forschung nulldreisechsdreizweinullfünf  Zukunftsvertrag Studium und Lehre stärken
61,8,13,42201,1925551706.27,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,422010813,Bundesministerium der Finanzen einsdreivierzweizweinulleins ,Bundesministerium der Finanzen einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
62,23,1,89611,1910289526.52,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896112301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse
63,12,2,89101,1902000000.0,Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene,Bundesministerium für Digitales und Verkehr,891011202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinsnulleins  Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene
64,23,1,89603,1876017320.04,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896032301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit
65,17,1,68113,1864338116.22,Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681131701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinseinsdrei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinseinsdrei  Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz"
68,14,13,53201,1627952000.0,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,532011413,Bundesministerium der Verteidigung einsdreifünfdreizweinulleins ,Bundesministerium der Verteidigung einsdreifünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
70,14,13,42201,1549255391.98,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,422011413,Bundesministerium der Verteidigung einsdreivierzweizweinulleins ,Bundesministerium der Verteidigung einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
71,12,1,74142,1506710539.02,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741421201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsvierzwei  Erhaltung (Bundesstraßen)
73,15,1,63603,1498111341.8,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,Bundesministerium für Gesundheit,636031501,Bundesministerium für Gesundheit nulleinssechsdreisechsnulldrei ,Bundesministerium für Gesundheit nulleinssechsdreisechsnulldrei  Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen
75,10,1,63604,1467666000.0,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636041001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte
76,11,2,63685,1433032523.41,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",Bundesministerium für Arbeit und Soziales,636851102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf ,"Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen"
77,14,8,51701,1391376017.92,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium der Verteidigung,517011408,Bundesministerium der Verteidigung nullachtfünfeinssiebennulleins ,"Bundesministerium der Verteidigung nullachtfünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
78,60,2,63401,1364520003.84,"Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""",Allgemeine Finanzverwaltung,634016002,Allgemeine Finanzverwaltung nullzweisechsdreiviernulleins ,"Allgemeine Finanzverwaltung nullzweisechsdreiviernulleins  Zuweisung an das Sondervermögen ""Aufbauhilfe 2021"""
79,32,8,11103,1347980366.87,Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen aus dem Ausland,Bundesschuld,111033208,Bundesschuld nullachteinseinseinsnulldrei ,Bundesschuld nullachteinseinseinsnulldrei  Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen aus dem Ausland
80,8,1,69931,1342278957.22,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,699310801,Bundesministerium der Finanzen nulleinssechsneunneundreieins ,Bundesministerium der Finanzen nulleinssechsneunneundreieins  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen
82,14,5,55417,1328620000.0,Beschaffung des Waffensystems Eurofighter,Bundesministerium der Verteidigung,554171405,Bundesministerium der Verteidigung nullfünffünffünfviereinssieben ,Bundesministerium der Verteidigung nullfünffünffünfviereinssieben  Beschaffung des Waffensystems Eurofighter
83,23,1,68706,1238593645.24,"Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687062301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullsechs ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullsechs  Krisenbewältigung und Wiederaufbau, Infrastruktur"
84,32,8,87601,1227718819.47,"Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",Bundesschuld,876013208,Bundesschuld nullachtachtsiebensechsnulleins ,"Bundesschuld nullachtachtsiebensechsnulleins  Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden"
85,15,3,68407,1189864414.21,Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2,Bundesministerium für Gesundheit,684071503,Bundesministerium für Gesundheit nulldreisechsachtviernullsieben ,Bundesministerium für Gesundheit nulldreisechsachtviernullsieben  Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2
86,25,1,88206,1182077432.87,Sozialer Wohnungsbau,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",882062501,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinsachtachtzweinullsechs ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinsachtachtzweinullsechs  Sozialer Wohnungsbau"
87,12,2,83101,1125000000.0,Erhöhung des Eigenkapitals der Deutschen Bahn AG,Bundesministerium für Digitales und Verkehr,831011202,Bundesministerium für Digitales und Verkehr nullzweiachtdreieinsnulleins ,Bundesministerium für Digitales und Verkehr nullzweiachtdreieinsnulleins  Erhöhung des Eigenkapitals der Deutschen Bahn AG
89,17,1,63207,1074553082.89,Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,"Bundesministerium für Familie, Senioren, Frauen und Jugend",632071701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsdreizweinullsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsdreizweinullsieben  Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes"
91,9,3,89302,1019651475.63,"Finanzierungen für Investitionen sowie Ausgaben für den Betrieb von Schwimmenden Speicher- und Regasifizierungseinheiten (Floating Storage and Regasification Units, FSRU)",Bundesministerium für Wirtschaft und Klimaschutz,893020903,Bundesministerium für Wirtschaft und Klimaschutz nulldreiachtneundreinullzwei ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreiachtneundreinullzwei  Finanzierungen für Investitionen sowie Ausgaben für den Betrieb von Schwimmenden Speicher- und Regasifizierungseinheiten (Floating Storage and Regasification Units, FSRU)"
93,15,1,85601,1000000000.0,Überjähriges Darlehen an den Gesundheitsfonds,Bundesministerium für Gesundheit,856011501,Bundesministerium für Gesundheit nulleinsachtfünfsechsnulleins ,Bundesministerium für Gesundheit nulleinsachtfünfsechsnulleins  Überjähriges Darlehen an den Gesundheitsfonds
94,15,2,63603,1000000000.0,Pauschale Beteiligung des Bundes an den Aufwendungen der sozialen Pflegeversicherung,Bundesministerium für Gesundheit,636031502,Bundesministerium für Gesundheit nullzweisechsdreisechsnulldrei ,Bundesministerium für Gesundheit nullzweisechsdreisechsnulldrei  Pauschale Beteiligung des Bundes an den Aufwendungen der sozialen Pflegeversicherung
95,6,3,68412,967597188.13,Durchführung von Integrationskursen nach der Integrationskursverordnung,Bundesministerium des Innern und für Heimat,684120603,Bundesministerium des Innern und für Heimat nulldreisechsachtviereinszwei ,Bundesministerium des Innern und für Heimat nulldreisechsachtviereinszwei  Durchführung von Integrationskursen nach der Integrationskursverordnung
97,4,14,54101,945405669.1,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,541010414,Bundeskanzler und Bundeskanzleramt einsvierfünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt einsvierfünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst
98,23,4,68701,943233510.14,Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687012304,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennulleins  Zahlungen an Einrichtungen der Weltbankgruppe
99,14,11,43257,926810528.88,Versorgungsbezüge,Bundesministerium der Verteidigung,432571411,Bundesministerium der Verteidigung einseinsvierdreizweifünfsieben ,Bundesministerium der Verteidigung einseinsvierdreizweifünfsieben  Versorgungsbezüge
101,9,1,89631,902102165.97,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,896310901,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris
103,8,11,43257,896466440.23,Versorgungsbezüge,Bundesministerium der Finanzen,432570811,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben ,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben  Versorgungsbezüge
105,14,10,11999,878932996.44,Vermischte Einnahmen,Bundesministerium der Verteidigung,119991410,Bundesministerium der Verteidigung einsnulleinseinsneunneunneun ,Bundesministerium der Verteidigung einsnulleinseinsneunneunneun  Vermischte Einnahmen
107,14,5,55408,845214121.68,Beschaffung von Munition,Bundesministerium der Verteidigung,554081405,Bundesministerium der Verteidigung nullfünffünffünfviernullacht ,Bundesministerium der Verteidigung nullfünffünffünfviernullacht  Beschaffung von Munition
108,23,3,89609,835310000.0,"Entwicklungswichtige multilaterale Hilfen zum weltweiten Umweltschutz, zur Erhaltung der Biodiversität und zum Klimaschutz",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896092303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullneun ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullneun  Entwicklungswichtige multilaterale Hilfen zum weltweiten Umweltschutz, zur Erhaltung der Biodiversität und zum Klimaschutz"
109,14,3,43354,826707370.87,"Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,433541403,Bundesministerium der Verteidigung nulldreivierdreidreifünfvier ,"Bundesministerium der Verteidigung nulldreivierdreidreifünfvier  Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge"
110,6,11,43257,798839968.14,Versorgungsbezüge,Bundesministerium des Innern und für Heimat,432570611,Bundesministerium des Innern und für Heimat einseinsvierdreizweifünfsieben ,Bundesministerium des Innern und für Heimat einseinsvierdreizweifünfsieben  Versorgungsbezüge
111,25,2,88211,787302978.68,Zuweisungen an die Länder zur Förderung städtebaulicher Maßnahmen (Städtebauförderung),"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",882112502,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nullzweiachtachtzweieinseins ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nullzweiachtachtzweieinseins  Zuweisungen an die Länder zur Förderung städtebaulicher Maßnahmen (Städtebauförderung)"
112,14,6,55310,778124396.47,"Erhaltung von Schiffen, Betriebswasserfahrzeugen, Booten, schwimmendem und sonstigem Marinegerät",Bundesministerium der Verteidigung,553101406,Bundesministerium der Verteidigung nullsechsfünffünfdreieinsnull ,"Bundesministerium der Verteidigung nullsechsfünffünfdreieinsnull  Erhaltung von Schiffen, Betriebswasserfahrzeugen, Booten, schwimmendem und sonstigem Marinegerät"
113,14,3,44653,775609167.69,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Verteidigung,446531403,Bundesministerium der Verteidigung nulldreivierviersechsfünfdrei ,Bundesministerium der Verteidigung nulldreivierviersechsfünfdrei  Beihilfen aufgrund der Beihilfevorschriften
114,25,1,89305,772788156.42,Zuschüsse zum Wohneigentumserwerb (Baukindergeld),"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",893052501,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinsachtneundreinullfünf ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinsachtneundreinullfünf  Zuschüsse zum Wohneigentumserwerb (Baukindergeld)"
115,14,5,55418,735317000.0,Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,554181405,Bundesministerium der Verteidigung nullfünffünffünfviereinsacht ,Bundesministerium der Verteidigung nullfünffünffünfviereinsacht  Beschaffung des Großraumtransportflugzeuges A400M
116,30,2,68180,733590668.6,AFBG - Zuschüsse an Teilnehmerinnen und Teilnehmer an beruflichen Aufstiegsmaßnahmen,Bundesministerium für Bildung und Forschung,681803002,Bundesministerium für Bildung und Forschung nullzweisechsachteinsachtnull ,Bundesministerium für Bildung und Forschung nullzweisechsachteinsachtnull  AFBG - Zuschüsse an Teilnehmerinnen und Teilnehmer an beruflichen Aufstiegsmaßnahmen
118,16,3,89101,728698924.01,Endlagerung und Standortauswahlverfahren,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",891011603,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulldreiachtneuneinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulldreiachtneuneinsnulleins  Endlagerung und Standortauswahlverfahren"
119,9,1,68531,726045000.0,Deutsches Zentrum für Luft- und Raumfahrt e. V. - Betrieb,Bundesministerium für Wirtschaft und Klimaschutz,685310901,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtfünfdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtfünfdreieins  Deutsches Zentrum für Luft- und Raumfahrt e. V. - Betrieb
