,Epl.,Kap.,Tit.,Ist 2016,Zweckbestimmung,ministries,2016 id,id_nlp_help,id_nlp,2016 Zweck,id
25,11,2,63616,5265135288.57,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,636161102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,636161102.0
26,12,16,63401,5231100000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,634011216,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,634011216.0
27,11,1,63613,5130855682.36,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131101,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131101.0
28,12,1,11122,4602784828.08,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111221201,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111221201.0
29,12,2,89111,3653000000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111202.0
30,60,2,88401,3500000000.0,"Zuweisung an das Sondervermögen ""Kommunalinvestitionsförderungsfonds""",Allgemeine Finanzverwaltung,884016002,Allgemeine Finanzverwaltung nullzweiachtachtviernulleins ,"Allgemeine Finanzverwaltung nullzweiachtachtviernulleins  Zuweisung an das Sondervermögen ""Kommunalinvestitionsförderungsfonds""",,
31,11,1,68511,3368090025.82,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111101,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111101.0
32,60,2,12104,3189108386.35,Anteil des Bundes am Reingewinn der Deutschen Bundesbank,Allgemeine Finanzverwaltung,121046002,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier ,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier  Anteil des Bundes am Reingewinn der Deutschen Bundesbank,,
33,11,2,63612,3173388106.48,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636121102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636121102.0
34,14,3,43353,3098249088.9,Versorgungsbezüge,Bundesministerium der Verteidigung,433531403,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei ,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei  Versorgungsbezüge,Bundesministerium der Verteidigung,433531403.0
37,14,8,51802,2536593108.68,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021408,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei ,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021408.0
38,30,3,68505,2500779631.0,Hochschulpakt 2020,Bundesministerium für Bildung und Forschung,685053003,Bundesministerium für Bildung und Forschung nulldreisechsachtfünfnullfünf ,Bundesministerium für Bildung und Forschung nulldreisechsachtfünfnullfünf  Hochschulpakt 2020,,
39,14,13,42801,2481532891.11,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,428011413,Bundesministerium der Verteidigung einsdreivierzweiachtnulleins ,Bundesministerium der Verteidigung einsdreivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,428011413.0
42,10,1,63601,2221317921.41,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001.0
44,12,1,74132,2060905221.43,Erhaltung (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741321201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsdreizwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsdreizwei  Erhaltung (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,632121201.0
47,32,5,57503,1814960454.76,Zinsen für Bundesobligationen,Bundesschuld,575033205,Bundesschuld nullfünffünfsiebenfünfnulldrei ,Bundesschuld nullfünffünfsiebenfünfnulldrei  Zinsen für Bundesobligationen,Bundesschuld,575033205.0
49,14,6,55311,1695502498.2,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111406,Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins ,"Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111406.0
51,60,2,21401,1500000000.0,"Zuweisung aus dem Sondervermögen ""Aufbauhilfe""",Allgemeine Finanzverwaltung,214016002,Allgemeine Finanzverwaltung nullzweizweieinsviernulleins ,"Allgemeine Finanzverwaltung nullzweizweieinsviernulleins  Zuweisung aus dem Sondervermögen ""Aufbauhilfe""",Allgemeine Finanzverwaltung,634016002.0
53,23,1,89611,1455081576.94,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896112301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896112301.0
54,8,13,42201,1409653581.8,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,422010813,Bundesministerium der Finanzen einsdreivierzweizweinulleins ,Bundesministerium der Finanzen einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,422010813.0
56,10,1,63604,1351062000.0,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636041001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636041001.0
57,12,6,88203,1335500000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Bundesministerium für Digitales und Verkehr,882031206,Bundesministerium für Digitales und Verkehr nullsechsachtachtzweinulldrei ,Bundesministerium für Digitales und Verkehr nullsechsachtachtzweinulldrei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Bundesministerium für Digitales und Verkehr,636111221.0
58,9,3,68311,1287533502.3,"Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",Bundesministerium für Wirtschaft und Klimaschutz,683110903,Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins  Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",,
59,5,1,68732,1284190417.42,Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,687320501,Auswärtiges Amt nulleinssechsachtsiebendreizwei ,Auswärtiges Amt nulleinssechsachtsiebendreizwei  Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,687320501.0
60,12,1,74142,1248450969.08,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741421201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsvierzwei  Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741421201.0
61,11,2,63685,1235427907.45,Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,Bundesministerium für Arbeit und Soziales,636851102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,Bundesministerium für Arbeit und Soziales,636851102.0
65,23,1,89603,1155153492.29,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896032301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896032301.0
66,12,2,89101,1139300000.0,Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891011202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinsnulleins  Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891511210.0
70,14,13,42201,1068427382.55,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,422011413,Bundesministerium der Verteidigung einsdreivierzweizweinulleins ,Bundesministerium der Verteidigung einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,422011413.0
72,16,6,88202,1018199999.99,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",882021606,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechsachtachtzweinullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechsachtachtzweinullzwei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung",,
74,12,2,12101,850000000.0,Gewinne aus Beteiligungen,Bundesministerium für Digitales und Verkehr,121011202,Bundesministerium für Digitales und Verkehr nullzweieinszweieinsnulleins ,Bundesministerium für Digitales und Verkehr nullzweieinszweieinsnulleins  Gewinne aus Beteiligungen,Bundesministerium für Digitales und Verkehr,121011202.0
78,14,11,43257,798400524.42,Versorgungsbezüge,Bundesministerium der Verteidigung,432571411,Bundesministerium der Verteidigung einseinsvierdreizweifünfsieben ,Bundesministerium der Verteidigung einseinsvierdreizweifünfsieben  Versorgungsbezüge,Bundesministerium der Verteidigung,432571411.0
79,9,1,89631,790750000.0,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,896310901,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,896310901.0
81,8,11,43257,756208280.29,Versorgungsbezüge,Bundesministerium der Finanzen,432570811,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben ,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben  Versorgungsbezüge,Bundesministerium der Finanzen,432570811.0
82,23,3,89602,738000000.0,"Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896022303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullzwei ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullzwei  Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896022303.0
83,14,3,43354,733722875.47,"Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,433541403,Bundesministerium der Verteidigung nulldreivierdreidreifünfvier ,"Bundesministerium der Verteidigung nulldreivierdreidreifünfvier  Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,433541403.0
84,5,1,68710,726679043.5,Beitrag an die Vereinten Nationen,Auswärtiges Amt,687100501,Auswärtiges Amt nulleinssechsachtsiebeneinsnull ,Auswärtiges Amt nulleinssechsachtsiebeneinsnull  Beitrag an die Vereinten Nationen,Auswärtiges Amt,687100501.0
85,60,2,61401,713000000.0,Zuweisung an den Energie- und Klimafonds,Allgemeine Finanzverwaltung,614016002,Allgemeine Finanzverwaltung nullzweisechseinsviernulleins ,Allgemeine Finanzverwaltung nullzweisechseinsviernulleins  Zuweisung an den Energie- und Klimafonds,,
86,30,2,88260,695300000.0,Kompensationsmittel für die Abschaffung der GA Hochschulbau,Bundesministerium für Bildung und Forschung,882603002,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechsnull ,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechsnull  Kompensationsmittel für die Abschaffung der GA Hochschulbau,,
88,14,5,55418,680453612.04,Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,554181405,Bundesministerium der Verteidigung nullfünffünffünfviereinsacht ,Bundesministerium der Verteidigung nullfünffünffünfviereinsacht  Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,554181405.0
90,12,1,74111,657026371.56,Bedarfsplanmaßnahmen (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741111201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinseinseins ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinseinseins  Bedarfsplanmaßnahmen (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,891051202.0
92,32,8,87201,654071868.67,"Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",Bundesschuld,872013208,Bundesschuld nullachtachtsiebenzweinulleins ,"Bundesschuld nullachtachtsiebenzweinulleins  Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",Bundesschuld,876013208.0
93,23,4,68701,649420376.79,Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687012304,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennulleins  Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687012304.0
94,14,7,53201,641500297.5,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,532011407,Bundesministerium der Verteidigung nullsiebenfünfdreizweinulleins ,Bundesministerium der Verteidigung nullsiebenfünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,532011403.0
95,8,1,69931,637799790.76,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,699310801,Bundesministerium der Finanzen nulleinssechsneunneundreieins ,Bundesministerium der Finanzen nulleinssechsneunneundreieins  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,699310801.0
96,16,6,17212,629677873.29,Tilgungsbeträge von Ländern,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",172121606,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechseinssiebenzweieinszwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechseinssiebenzweieinszwei  Tilgungsbeträge von Ländern",,
97,4,14,54101,612521507.75,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,541010414,Bundeskanzler und Bundeskanzleramt einsvierfünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt einsvierfünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,541010414.0
98,23,1,68706,599939966.08,"Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687062301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullsechs ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullsechs  Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687062301.0
99,12,1,52111,595661693.39,Betriebsdienst (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,521111201,Bundesministerium für Digitales und Verkehr nulleinsfünfzweieinseinseins ,Bundesministerium für Digitales und Verkehr nulleinsfünfzweieinseinseins  Betriebsdienst (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,891111201.0
100,23,1,18601,581617699.99,Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,186012301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinseinsachtsechsnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinseinsachtsechsnulleins  Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,166012301.0
101,16,6,63201,573582457.78,Wohngeld nach dem Wohngeldgesetz,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",632011606,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechssechsdreizweinulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechssechsdreizweinulleins  Wohngeld nach dem Wohngeldgesetz","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",111011603.0
102,9,3,66122,559111366.74,"Förderung von Maßnahmen zur energetischen Gebäudesanierung ""CO2-Gebäudesanierungsprogramm"" der KfW- Bankengruppe - Abwicklung",Bundesministerium für Wirtschaft und Klimaschutz,661220903,Bundesministerium für Wirtschaft und Klimaschutz nulldreisechssechseinszweizwei ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreisechssechseinszweizwei  Förderung von Maßnahmen zur energetischen Gebäudesanierung ""CO2-Gebäudesanierungsprogramm"" der KfW- Bankengruppe - Abwicklung",,
103,9,1,68301,556737835.69,"Innovationsförderung, Zentrales Innovationsprogramm Mittelstand (ZIM)",Bundesministerium für Wirtschaft und Klimaschutz,683010901,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtdreinulleins ,"Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtdreinulleins  Innovationsförderung, Zentrales Innovationsprogramm Mittelstand (ZIM)",Bundesministerium für Wirtschaft und Klimaschutz,683010901.0
104,12,18,42801,553866987.83,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,428011218,Bundesministerium für Digitales und Verkehr einsachtvierzweiachtnulleins ,Bundesministerium für Digitales und Verkehr einsachtvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,428011218.0
105,14,8,51701,552845375.03,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium der Verteidigung,517011408,Bundesministerium der Verteidigung nullachtfünfeinssiebennulleins ,"Bundesministerium der Verteidigung nullachtfünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium der Verteidigung,517011408.0
106,14,3,44653,544311900.92,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Verteidigung,446531403,Bundesministerium der Verteidigung nulldreivierviersechsfünfdrei ,Bundesministerium der Verteidigung nulldreivierviersechsfünfdrei  Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Verteidigung,446531403.0
107,14,5,55420,542661873.54,Beschaffung Schützenpanzer PUMA,Bundesministerium der Verteidigung,554201405,Bundesministerium der Verteidigung nullfünffünffünfvierzweinull ,Bundesministerium der Verteidigung nullfünffünffünfvierzweinull  Beschaffung Schützenpanzer PUMA,Bundesministerium der Verteidigung,554021405.0
108,11,3,68111,532161442.75,Versorgungsbezüge für Berechtigte nach dem BVG,Bundesministerium für Arbeit und Soziales,681111103,Bundesministerium für Arbeit und Soziales nulldreisechsachteinseinseins ,Bundesministerium für Arbeit und Soziales nulldreisechsachteinseinseins  Versorgungsbezüge für Berechtigte nach dem BVG,Bundesministerium für Arbeit und Soziales,681111103.0
109,14,5,55412,527568808.36,"Beschaffung von Schiffen, Betriebswasserfahrzeugen, Booten, schwimmendem und sonstigem Marinegerät",Bundesministerium der Verteidigung,554121405,Bundesministerium der Verteidigung nullfünffünffünfviereinszwei ,"Bundesministerium der Verteidigung nullfünffünffünfviereinszwei  Beschaffung von Schiffen, Betriebswasserfahrzeugen, Booten, schwimmendem und sonstigem Marinegerät",Bundesministerium der Verteidigung,554121405.0
