,index,Epl.,Kap.,Tit.,Ist 2020,Zweckbestimmung,ministries,2020 id,id_nlp_help,id_nlp,2020 Zweck,id
35,3315,12,16,63401,5163735000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,634011216,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011216.0
36,2614,11,1,68511,3998445237.01,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111101,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit,Leistungen zur Eingliederung in Arbeit,685111101.0
37,4983,60,2,68302,3724003507.71,Corona-Überbrückungshilfe für kleine und mittelständische Unternehmen,Allgemeine Finanzverwaltung,683026002,Allgemeine Finanzverwaltung nullzweisechsachtdreinullzwei ,Allgemeine Finanzverwaltung nullzweisechsachtdreinullzwei  Corona-Überbrückungshilfe für kleine und mittelständische Unternehmen,,
38,3896,15,1,63603,3537947516.34,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,Bundesministerium für Gesundheit,636031501,Bundesministerium für Gesundheit nulleinssechsdreisechsnulldrei ,Bundesministerium für Gesundheit nulleinssechsdreisechsnulldrei  Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,636031501.0
39,2625,11,2,63612,3477070763.82,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636121102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,636121102.0
40,3659,14,3,43353,3344489135.02,Versorgungsbezüge,Bundesministerium der Verteidigung,433531403,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei ,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei  Versorgungsbezüge,Versorgungsbezüge,433531403.0
42,2951,12,1,74132,2846321015.79,Erhaltung (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741321201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsdreizwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsdreizwei  Erhaltung (Bundesautobahnen),Pauschale Abgeltung der Zweckausgaben bei Entwurfsbearbeitung und Bauaufsicht (Bundesautobahnen),632121201.0
45,3775,14,8,51802,2623375554.22,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021408,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei ,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021408.0
46,4966,60,2,12104,2500000000.0,Anteil des Bundes am Reingewinn der Deutschen Bundesbank,Allgemeine Finanzverwaltung,121046002,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier ,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier  Anteil des Bundes am Reingewinn der Deutschen Bundesbank,,
47,3870,14,13,42801,2376923572.78,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,428011413,Bundesministerium der Verteidigung einsdreivierzweiachtnulleins ,Bundesministerium der Verteidigung einsdreivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428011413.0
49,2279,10,1,63601,2334713537.85,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte,Zuschüsse zur Alterssicherung der Landwirte,636011001.0
50,3735,14,6,55311,2301170981.33,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111406,Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins ,"Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät","Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",553111406.0
53,516,5,1,68732,2089167429.95,Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,687320501,Auswärtiges Amt nulleinssechsachtsiebendreizwei ,Auswärtiges Amt nulleinssechsachtsiebendreizwei  Humanitäre Hilfsmaßnahmen im Ausland,Humanitäre Hilfsmaßnahmen im Ausland,687320501.0
55,4687,23,1,89611,1955585000.0,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896112301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,896112301.0
56,1953,9,3,68311,1924039906.79,"Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",Bundesministerium für Wirtschaft und Klimaschutz,683110903,Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins  Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",,
58,3901,15,2,63602,1800000000.0,Leistungen des Bundes an den Ausgleichsfonds der Pflegeversicherung für SARS-CoV-2-Pandemie verursachte Belastungen,Bundesministerium für Gesundheit,636021502,Bundesministerium für Gesundheit nullzweisechsdreisechsnullzwei ,Bundesministerium für Gesundheit nullzweisechsdreisechsnullzwei  Leistungen des Bundes an den Ausgleichsfonds der Pflegeversicherung für SARS-CoV-2-Pandemie verursachte Belastungen,,
59,4795,30,3,63205,1736384238.0,Hochschulpakt 2020 - Erste Säule,Bundesministerium für Bildung und Forschung,632053003,Bundesministerium für Bildung und Forschung nulldreisechsdreizweinullfünf ,Bundesministerium für Bildung und Forschung nulldreisechsdreizweinullfünf  Hochschulpakt 2020 - Erste Säule,,
60,4994,60,2,88402,1722185000.0,"Zuweisung an das Sondervermögen ""Digitale Infrastruktur""",Allgemeine Finanzverwaltung,884026002,Allgemeine Finanzverwaltung nullzweiachtachtviernullzwei ,"Allgemeine Finanzverwaltung nullzweiachtachtviernullzwei  Zuweisung an das Sondervermögen ""Digitale Infrastruktur""","Zuweisung an das Sondervermögen ""Digitale Infrastruktur""",614036002.0
61,1822,8,13,42201,1640767048.11,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,422010813,Bundesministerium der Finanzen einsdreivierzweizweinulleins ,Bundesministerium der Finanzen einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422010813.0
63,4684,23,1,89603,1526998818.28,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896032301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit,Bilaterale Technische Zusammenarbeit,896032301.0
64,4434,17,2,88406,1500000000.0,"Zuweisung aus dem Konjunktur- und Krisenbewältigungspaket an das Sondervermögen ""Ausbau ganztägiger Bildungs- und Betreuungsangebote für Kinder im Grundschulalter""","Bundesministerium für Familie, Senioren, Frauen und Jugend",884061702,"Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweiachtachtviernullsechs ","Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweiachtachtviernullsechs  Zuweisung aus dem Konjunktur- und Krisenbewältigungspaket an das Sondervermögen ""Ausbau ganztägiger Bildungs- und Betreuungsangebote für Kinder im Grundschulalter""","Einnahmen aus Abführungen des Sondervermögens ""Ausbau ganztägiger Bildungs- und Betreuungsangebote für Kinder im Grundschulalter""",234021702.0
67,2633,11,2,63685,1400430120.09,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",Bundesministerium für Arbeit und Soziales,636851102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf ,"Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen","Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",636851102.0
68,3016,12,2,89101,1385000000.0,Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891011202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinsnulleins  Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für Investitionen in die Schienenwege der nicht bundeseigenen Eisenbahnen,891511210.0
69,2282,10,1,63604,1384255000.0,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636041001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte,Zuschüsse zur Krankenversicherung der Landwirte,636041001.0
72,3866,14,13,42201,1315107632.09,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,422011413,Bundesministerium der Verteidigung einsdreivierzweizweinulleins ,Bundesministerium der Verteidigung einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422011413.0
73,4876,30,11,98101,1278918366.38,Leistungen an Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium für Bildung und Forschung,981013011,Bundesministerium für Bildung und Forschung einseinsneunachteinsnulleins ,Bundesministerium für Bildung und Forschung einseinsneunachteinsnulleins  Leistungen an Bundesbehörden zur Durchführung von Aufträgen,Leistungen an Bundesbehörden zur Durchführung von Aufträgen,981013011.0
74,4416,17,2,38103,1250294000.0,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,"Bundesministerium für Familie, Senioren, Frauen und Jugend",381031702,"Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweidreiachteinsnulldrei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweidreiachteinsnulldrei  Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7",Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,381031702.0
75,2953,12,1,74142,1169550580.89,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741421201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsvierzwei  Erhaltung (Bundesstraßen),Erhaltung (Bundesstraßen),741421201.0
76,4925,32,5,57508,1167868326.55,Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Bundesschuld,575083205,Bundesschuld nullfünffünfsiebenfünfnullacht ,Bundesschuld nullfünffünfsiebenfünfnullacht  Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),575083205.0
81,3861,14,13,53201,1049483340.33,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,532011413,Bundesministerium der Verteidigung einsdreifünfdreizweinulleins ,Bundesministerium der Verteidigung einsdreifünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Aufträge und Dienstleistungen im Bereich Informationstechnik,532011413.0
82,1705,8,1,69931,1033812761.97,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,699310801,Bundesministerium der Finanzen nulleinssechsneunneundreieins ,Bundesministerium der Finanzen nulleinssechsneunneundreieins  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,699310801.0
83,4682,23,1,68706,1027040647.34,"Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687062301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullsechs ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullsechs  Krisenbewältigung und Wiederaufbau, Infrastruktur","Krisenbewältigung und Wiederaufbau, Infrastruktur",687062301.0
84,2949,12,1,74122,1022940969.42,Bedarfsplanmaßnahmen (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741221201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinszweizwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinszweizwei  Bedarfsplanmaßnahmen (Bundesstraßen),Bedarfsplanmaßnahmen (Bundesstraßen),741221201.0
85,4410,17,1,68113,1001146508.49,Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681131701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinseinsdrei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinseinsdrei  Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz",Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz,681131701.0
86,4432,17,2,88404,1000000000.0,"Zuweisung an das Sondervermögen ""Ausbau ganztägiger Bildungs- und Betreuungsangebote für Kinder im Grundschulalter""","Bundesministerium für Familie, Senioren, Frauen und Jugend",884041702,"Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweiachtachtviernullvier ","Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweiachtachtviernullvier  Zuweisung an das Sondervermögen ""Ausbau ganztägiger Bildungs- und Betreuungsangebote für Kinder im Grundschulalter""",,
87,4704,23,3,89602,967011200.0,"Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896022303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullzwei ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullzwei  Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)","Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",896022303.0
89,3719,14,5,55417,962403032.25,Beschaffung des Waffensystems Eurofighter,Bundesministerium der Verteidigung,554171405,Bundesministerium der Verteidigung nullfünffünffünfviereinssieben ,Bundesministerium der Verteidigung nullfünffünffünfviereinssieben  Beschaffung des Waffensystems Eurofighter,Beschaffung des Waffensystems Eurofighter,554171405.0
90,4403,17,1,63207,925060401.75,Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,"Bundesministerium für Familie, Senioren, Frauen und Jugend",632071701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsdreizweinullsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsdreizweinullsieben  Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes",Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,632071701.0
91,2948,12,1,74111,920874145.93,Bedarfsplanmaßnahmen (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741111201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinseinseins ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinseinseins  Bedarfsplanmaßnahmen (Bundesautobahnen),Maßnahmen zur Lärmsanierung an bestehenden Schienenwegen der Eisenbahnen des Bundes,891051202.0
94,264,4,14,54101,904846250.85,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,541010414,Bundeskanzler und Bundeskanzleramt einsvierfünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt einsvierfünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst,Zuschuss an den Bundesnachrichtendienst,541010414.0
96,3820,14,11,43257,880383088.19,Versorgungsbezüge,Bundesministerium der Verteidigung,432571411,Bundesministerium der Verteidigung einseinsvierdreizweifünfsieben ,Bundesministerium der Verteidigung einseinsvierdreizweifünfsieben  Versorgungsbezüge,Versorgungsbezüge,432571411.0
99,1926,9,1,89631,855000000.0,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,896310901,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,896310901.0
100,1759,8,11,43257,827446567.65,Versorgungsbezüge,Bundesministerium der Finanzen,432570811,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben ,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben  Versorgungsbezüge,Versorgungsbezüge,432570811.0
102,3713,14,5,55408,798589822.72,Beschaffung von Munition,Bundesministerium der Verteidigung,554081405,Bundesministerium der Verteidigung nullfünffünffünfviernullacht ,Bundesministerium der Verteidigung nullfünffünffünfviernullacht  Beschaffung von Munition,Beschaffung von Munition,554081405.0
