,Epl.,Kap.,Tit.,Ist 2018,Zweckbestimmung,ministries,2018 id,id_nlp_help,id_nlp,2018 Zweck,id
42,10,1,63601,2260435034.53,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001.0
43,30,3,68505,2207414646.0,Hochschulpakt 2020,Bundesministerium für Bildung und Forschung,685053003,Bundesministerium für Bildung und Forschung nulldreisechsachtfünfnullfünf ,Bundesministerium für Bildung und Forschung nulldreisechsachtfünfnullfünf  Hochschulpakt 2020,,
46,14,6,55311,2012870247.4,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111406,Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins ,"Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111406.0
49,60,2,12104,1902381905.41,Anteil des Bundes am Reingewinn der Deutschen Bundesbank,Allgemeine Finanzverwaltung,121046002,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier ,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier  Anteil des Bundes am Reingewinn der Deutschen Bundesbank,,
51,23,1,89611,1642741708.13,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896112301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896112301.0
53,12,2,89101,1529786900.0,Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891011202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinsnulleins  Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891511210.0
54,6,4,88202,1518199999.99,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung,Bundesministerium des Innern und für Heimat,882020604,Bundesministerium des Innern und für Heimat nullvierachtachtzweinullzwei ,Bundesministerium des Innern und für Heimat nullvierachtachtzweinullzwei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung,Bundesministerium des Innern und für Heimat,632010624.0
55,23,1,89603,1505131753.61,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896032301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896032301.0
56,5,1,68732,1504871431.52,Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,687320501,Auswärtiges Amt nulleinssechsachtsiebendreizwei ,Auswärtiges Amt nulleinssechsachtsiebendreizwei  Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,687320501.0
57,8,13,42201,1500803238.8,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,422010813,Bundesministerium der Finanzen einsdreivierzweizweinulleins ,Bundesministerium der Finanzen einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,422010813.0
58,10,1,63604,1368026000.0,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636041001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636041001.0
59,12,1,74142,1353928364.69,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741421201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsvierzwei  Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741421201.0
60,12,6,88203,1335500000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Bundesministerium für Digitales und Verkehr,882031206,Bundesministerium für Digitales und Verkehr nullsechsachtachtzweinulldrei ,Bundesministerium für Digitales und Verkehr nullsechsachtachtzweinulldrei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Bundesministerium für Digitales und Verkehr,636111221.0
62,11,2,63685,1300931862.19,Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,Bundesministerium für Arbeit und Soziales,636851102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,Bundesministerium für Arbeit und Soziales,636851102.0
65,14,13,42201,1165798563.95,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,422011413,Bundesministerium der Verteidigung einsdreivierzweizweinulleins ,Bundesministerium der Verteidigung einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,422011413.0
69,32,5,57508,1031086324.38,Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Bundesschuld,575083205,Bundesschuld nullfünffünfsiebenfünfnullacht ,Bundesschuld nullfünffünfsiebenfünfnullacht  Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Bundesschuld,575083205.0
71,9,3,68311,967305724.03,"Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",Bundesministerium für Wirtschaft und Klimaschutz,683110903,Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins  Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",,
72,32,8,87201,960646890.41,"Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",Bundesschuld,872013208,Bundesschuld nullachtachtsiebenzweinulleins ,"Bundesschuld nullachtachtsiebenzweinulleins  Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",Bundesschuld,876013208.0
73,23,3,89602,925900780.43,"Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896022303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullzwei ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullzwei  Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896022303.0
74,12,10,74171,893313226.34,Investitionen in die Bundesfernstraßen (Bundesautobahnen und Bundesstraßen),Bundesministerium für Digitales und Verkehr,741711210,Bundesministerium für Digitales und Verkehr einsnullsiebenviereinssiebeneins ,Bundesministerium für Digitales und Verkehr einsnullsiebenviereinssiebeneins  Investitionen in die Bundesfernstraßen (Bundesautobahnen und Bundesstraßen),Bundesministerium für Digitales und Verkehr,745211201.0
75,6,3,68412,874409451.32,Durchführung von Integrationskursen nach der Integrationskursverordnung,Bundesministerium des Innern und für Heimat,684120603,Bundesministerium des Innern und für Heimat nulldreisechsachtviereinszwei ,Bundesministerium des Innern und für Heimat nulldreisechsachtviereinszwei  Durchführung von Integrationskursen nach der Integrationskursverordnung,Bundesministerium des Innern und für Heimat,684120603.0
78,9,1,89631,852450000.0,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,896310901,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,896310901.0
79,14,11,43257,847819764.84,Versorgungsbezüge,Bundesministerium der Verteidigung,432571411,Bundesministerium der Verteidigung einseinsvierdreizweifünfsieben ,Bundesministerium der Verteidigung einseinsvierdreizweifünfsieben  Versorgungsbezüge,Bundesministerium der Verteidigung,432571411.0
80,17,1,63207,841225022.85,Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,"Bundesministerium für Familie, Senioren, Frauen und Jugend",632071701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsdreizweinullsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsdreizweinullsieben  Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes","Bundesministerium für Familie, Senioren, Frauen und Jugend",632071701.0
81,4,14,54101,813435075.58,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,541010414,Bundeskanzler und Bundeskanzleramt einsvierfünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt einsvierfünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,541010414.0
83,14,5,55418,807661942.38,Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,554181405,Bundesministerium der Verteidigung nullfünffünffünfviereinsacht ,Bundesministerium der Verteidigung nullfünffünffünfviereinsacht  Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,554181405.0
84,8,11,43257,789976529.38,Versorgungsbezüge,Bundesministerium der Finanzen,432570811,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben ,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben  Versorgungsbezüge,Bundesministerium der Finanzen,432570811.0
87,12,1,53224,761767375.37,Ausgaben für den Einzug der streckenbezogenen Straßenbenutzungsgebühren,Bundesministerium für Digitales und Verkehr,532241201,Bundesministerium für Digitales und Verkehr nulleinsfünfdreizweizweivier ,Bundesministerium für Digitales und Verkehr nulleinsfünfdreizweizweivier  Ausgaben für den Einzug der streckenbezogenen Straßenbenutzungsgebühren,Bundesministerium für Digitales und Verkehr,532241201.0
90,14,5,55413,736118827.86,"Beschaffung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,554131405,Bundesministerium der Verteidigung nullfünffünffünfviereinsdrei ,"Bundesministerium der Verteidigung nullfünffünffünfviereinsdrei  Beschaffung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,554131405.0
91,14,7,53201,734911028.36,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,532011407,Bundesministerium der Verteidigung nullsiebenfünfdreizweinulleins ,Bundesministerium der Verteidigung nullsiebenfünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,532011403.0
92,14,5,55420,733980653.72,Beschaffung Schützenpanzer PUMA,Bundesministerium der Verteidigung,554201405,Bundesministerium der Verteidigung nullfünffünffünfvierzweinull ,Bundesministerium der Verteidigung nullfünffünffünfvierzweinull  Beschaffung Schützenpanzer PUMA,Bundesministerium der Verteidigung,554021405.0
93,23,1,18601,729213890.08,Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,186012301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinseinsachtsechsnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinseinsachtsechsnulleins  Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,166012301.0
94,23,1,68706,709774048.47,"Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687062301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullsechs ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullsechs  Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687062301.0
95,30,2,88260,695300000.0,Kompensationsmittel für die Abschaffung der GA Hochschulbau,Bundesministerium für Bildung und Forschung,882603002,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechsnull ,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechsnull  Kompensationsmittel für die Abschaffung der GA Hochschulbau,,
96,14,3,43354,671006368.73,"Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,433541403,Bundesministerium der Verteidigung nulldreivierdreidreifünfvier ,"Bundesministerium der Verteidigung nulldreivierdreidreifünfvier  Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,433541403.0
97,6,4,17212,659453978.51,Tilgungsbeträge von Ländern,Bundesministerium des Innern und für Heimat,172120604,Bundesministerium des Innern und für Heimat nullviereinssiebenzweieinszwei ,Bundesministerium des Innern und für Heimat nullviereinssiebenzweieinszwei  Tilgungsbeträge von Ländern,,
98,8,1,69931,653575496.07,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,699310801,Bundesministerium der Finanzen nulleinssechsneunneundreieins ,Bundesministerium der Finanzen nulleinssechsneunneundreieins  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,699310801.0
99,12,1,52111,650586447.34,Betriebsdienst (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,521111201,Bundesministerium für Digitales und Verkehr nulleinsfünfzweieinseinseins ,Bundesministerium für Digitales und Verkehr nulleinsfünfzweieinseinseins  Betriebsdienst (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,891051202.0
100,14,8,55811,637502871.05,"Große Neu-, Um- und Erweiterungsbauten",Bundesministerium der Verteidigung,558111408,Bundesministerium der Verteidigung nullachtfünffünfachteinseins ,"Bundesministerium der Verteidigung nullachtfünffünfachteinseins  Große Neu-, Um- und Erweiterungsbauten",Bundesministerium der Verteidigung,558111408.0
101,23,4,68701,626766814.29,Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687012304,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennulleins  Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687012304.0
102,14,3,44653,599553380.28,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Verteidigung,446531403,Bundesministerium der Verteidigung nulldreivierviersechsfünfdrei ,Bundesministerium der Verteidigung nulldreivierviersechsfünfdrei  Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Verteidigung,446531403.0
103,32,5,57503,590885889.88,Zinsen für Bundesobligationen,Bundesschuld,575033205,Bundesschuld nullfünffünfsiebenfünfnulldrei ,Bundesschuld nullfünffünfsiebenfünfnulldrei  Zinsen für Bundesobligationen,Bundesschuld,575033205.0
104,12,18,42801,589064859.64,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,428011218,Bundesministerium für Digitales und Verkehr einsachtvierzweiachtnulleins ,Bundesministerium für Digitales und Verkehr einsachtvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,428011218.0
105,14,8,51701,585272301.76,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium der Verteidigung,517011408,Bundesministerium der Verteidigung nullachtfünfeinssiebennulleins ,"Bundesministerium der Verteidigung nullachtfünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium der Verteidigung,517011408.0
106,12,1,74111,583497564.74,Bedarfsplanmaßnahmen (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741111201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinseinseins ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinseinseins  Bedarfsplanmaßnahmen (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,891111201.0
109,6,11,43257,562213595.0,Versorgungsbezüge,Bundesministerium des Innern und für Heimat,432570611,Bundesministerium des Innern und für Heimat einseinsvierdreizweifünfsieben ,Bundesministerium des Innern und für Heimat einseinsvierdreizweifünfsieben  Versorgungsbezüge,Bundesministerium des Innern und für Heimat,432570611.0
110,6,4,88211,548286808.52,Zuweisungen an die Länder zur Förderung städtebaulicher Maßnahmen (Städtebauförderung),Bundesministerium des Innern und für Heimat,882110604,Bundesministerium des Innern und für Heimat nullvierachtachtzweieinseins ,Bundesministerium des Innern und für Heimat nullvierachtachtzweieinseins  Zuweisungen an die Länder zur Förderung städtebaulicher Maßnahmen (Städtebauförderung),,
