,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp
60,5013,30,3,63205,1936400000.0,Zukunftsvertrag Studium und Lehre stärken,Bundesministerium für Bildung und Forschung,300363205,Bundesministerium für Bildung und Forschung nulldrei sechsdreizweinullfünf ,Bundesministerium für Bildung und Forschung nulldrei sechsdreizweinullfünf  Zukunftsvertrag Studium und Lehre stärken
61,1751,8,13,42201,1925551706.27,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,081342201,Bundesministerium der Finanzen einsdrei vierzweizweinulleins ,Bundesministerium der Finanzen einsdrei vierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
62,4746,23,1,89611,1910289526.52,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230189611,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechseinseins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechseinseins  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse
63,2962,12,2,89101,1902000000.0,Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene,Bundesministerium für Digitales und Verkehr,120289101,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinsnulleins  Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene
64,4743,23,1,89603,1876017320.04,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230189603,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit
65,4432,17,1,68113,1864338116.22,Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170168113,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinseinsdrei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinseinsdrei  Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz"
68,3834,14,13,53201,1627952000.0,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,141353201,Bundesministerium der Verteidigung einsdrei fünfdreizweinulleins ,Bundesministerium der Verteidigung einsdrei fünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
70,3842,14,13,42201,1549255391.98,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,141342201,Bundesministerium der Verteidigung einsdrei vierzweizweinulleins ,Bundesministerium der Verteidigung einsdrei vierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
71,2912,12,1,74142,1506710539.02,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,120174142,Bundesministerium für Digitales und Verkehr nulleins siebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr nulleins siebenviereinsvierzwei  Erhaltung (Bundesstraßen)
73,3871,15,1,63603,1498111341.8,Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen,Bundesministerium für Gesundheit,150163603,Bundesministerium für Gesundheit nulleins sechsdreisechsnulldrei ,Bundesministerium für Gesundheit nulleins sechsdreisechsnulldrei  Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen
75,2243,10,1,63604,1467666000.0,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,100163604,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte
76,2610,11,2,63685,1433032523.41,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",Bundesministerium für Arbeit und Soziales,110263685,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtfünf ,"Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen"
77,3739,14,8,51701,1391376017.92,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium der Verteidigung,140851701,Bundesministerium der Verteidigung nullacht fünfeinssiebennulleins ,"Bundesministerium der Verteidigung nullacht fünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
78,5211,60,2,63401,1364520003.84,"Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""",Allgemeine Finanzverwaltung,600263401,Allgemeine Finanzverwaltung nullzwei sechsdreiviernulleins ,"Allgemeine Finanzverwaltung nullzwei sechsdreiviernulleins  Zuweisung an das Sondervermögen ""Aufbauhilfe 2021"""
79,5156,32,8,11103,1347980366.87,Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen aus dem Ausland,Bundesschuld,320811103,Bundesschuld nullacht einseinseinsnulldrei ,Bundesschuld nullacht einseinseinsnulldrei  Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen aus dem Ausland
80,1642,8,1,69931,1342278957.22,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,080169931,Bundesministerium der Finanzen nulleins sechsneunneundreieins ,Bundesministerium der Finanzen nulleins sechsneunneundreieins  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen
82,3690,14,5,55417,1328620000.0,Beschaffung des Waffensystems Eurofighter,Bundesministerium der Verteidigung,140555417,Bundesministerium der Verteidigung nullfünf fünffünfviereinssieben ,Bundesministerium der Verteidigung nullfünf fünffünfviereinssieben  Beschaffung des Waffensystems Eurofighter
83,4741,23,1,68706,1238593645.24,"Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230168706,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins sechsachtsiebennullsechs ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins sechsachtsiebennullsechs  Krisenbewältigung und Wiederaufbau, Infrastruktur"
84,5160,32,8,87601,1227718819.47,"Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",Bundesschuld,320887601,Bundesschuld nullacht achtsiebensechsnulleins ,"Bundesschuld nullacht achtsiebensechsnulleins  Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden"
85,3897,15,3,68407,1189864414.21,Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2,Bundesministerium für Gesundheit,150368407,Bundesministerium für Gesundheit nulldrei sechsachtviernullsieben ,Bundesministerium für Gesundheit nulldrei sechsachtviernullsieben  Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2
86,4850,25,1,88206,1182077432.87,Sozialer Wohnungsbau,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",250188206,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins achtachtzweinullsechs ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins achtachtzweinullsechs  Sozialer Wohnungsbau"
87,2961,12,2,83101,1125000000.0,Erhöhung des Eigenkapitals der Deutschen Bahn AG,Bundesministerium für Digitales und Verkehr,120283101,Bundesministerium für Digitales und Verkehr nullzwei achtdreieinsnulleins ,Bundesministerium für Digitales und Verkehr nullzwei achtdreieinsnulleins  Erhöhung des Eigenkapitals der Deutschen Bahn AG
89,4424,17,1,63207,1074553082.89,Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170163207,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsdreizweinullsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsdreizweinullsieben  Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes"
91,1891,9,3,89302,1019651475.63,"Finanzierungen für Investitionen sowie Ausgaben für den Betrieb von Schwimmenden Speicher- und Regasifizierungseinheiten (Floating Storage and Regasification Units, FSRU)",Bundesministerium für Wirtschaft und Klimaschutz,090389302,Bundesministerium für Wirtschaft und Klimaschutz nulldrei achtneundreinullzwei ,"Bundesministerium für Wirtschaft und Klimaschutz nulldrei achtneundreinullzwei  Finanzierungen für Investitionen sowie Ausgaben für den Betrieb von Schwimmenden Speicher- und Regasifizierungseinheiten (Floating Storage and Regasification Units, FSRU)"
93,3874,15,1,85601,1000000000.0,Überjähriges Darlehen an den Gesundheitsfonds,Bundesministerium für Gesundheit,150185601,Bundesministerium für Gesundheit nulleins achtfünfsechsnulleins ,Bundesministerium für Gesundheit nulleins achtfünfsechsnulleins  Überjähriges Darlehen an den Gesundheitsfonds
94,3878,15,2,63603,1000000000.0,Pauschale Beteiligung des Bundes an den Aufwendungen der sozialen Pflegeversicherung,Bundesministerium für Gesundheit,150263603,Bundesministerium für Gesundheit nullzwei sechsdreisechsnulldrei ,Bundesministerium für Gesundheit nullzwei sechsdreisechsnulldrei  Pauschale Beteiligung des Bundes an den Aufwendungen der sozialen Pflegeversicherung
95,854,6,3,68412,967597188.13,Durchführung von Integrationskursen nach der Integrationskursverordnung,Bundesministerium des Innern und für Heimat,060368412,Bundesministerium des Innern und für Heimat nulldrei sechsachtviereinszwei ,Bundesministerium des Innern und für Heimat nulldrei sechsachtviereinszwei  Durchführung von Integrationskursen nach der Integrationskursverordnung
97,284,4,14,54101,945405669.1,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,041454101,Bundeskanzler und Bundeskanzleramt einsvier fünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt einsvier fünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst
98,4769,23,4,68701,943233510.14,Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230468701,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullvier sechsachtsiebennulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullvier sechsachtsiebennulleins  Zahlungen an Einrichtungen der Weltbankgruppe
99,3791,14,11,43257,926810528.88,Versorgungsbezüge,Bundesministerium der Verteidigung,141143257,Bundesministerium der Verteidigung einseins vierdreizweifünfsieben ,Bundesministerium der Verteidigung einseins vierdreizweifünfsieben  Versorgungsbezüge
101,1858,9,1,89631,902102165.97,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,090189631,Bundesministerium für Wirtschaft und Klimaschutz nulleins achtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleins achtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris
103,1690,8,11,43257,896466440.23,Versorgungsbezüge,Bundesministerium der Finanzen,081143257,Bundesministerium der Finanzen einseins vierdreizweifünfsieben ,Bundesministerium der Finanzen einseins vierdreizweifünfsieben  Versorgungsbezüge
105,3766,14,10,11999,878932996.44,Vermischte Einnahmen,Bundesministerium der Verteidigung,141011999,Bundesministerium der Verteidigung einsnull einseinsneunneunneun ,Bundesministerium der Verteidigung einsnull einseinsneunneunneun  Vermischte Einnahmen
107,3684,14,5,55408,845214121.68,Beschaffung von Munition,Bundesministerium der Verteidigung,140555408,Bundesministerium der Verteidigung nullfünf fünffünfviernullacht ,Bundesministerium der Verteidigung nullfünf fünffünfviernullacht  Beschaffung von Munition
108,4767,23,3,89609,835310000.0,"Entwicklungswichtige multilaterale Hilfen zum weltweiten Umweltschutz, zur Erhaltung der Biodiversität und zum Klimaschutz",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230389609,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldrei achtneunsechsnullneun ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldrei achtneunsechsnullneun  Entwicklungswichtige multilaterale Hilfen zum weltweiten Umweltschutz, zur Erhaltung der Biodiversität und zum Klimaschutz"
109,3630,14,3,43354,826707370.87,"Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,140343354,Bundesministerium der Verteidigung nulldrei vierdreidreifünfvier ,"Bundesministerium der Verteidigung nulldrei vierdreidreifünfvier  Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge"
110,894,6,11,43257,798839968.14,Versorgungsbezüge,Bundesministerium des Innern und für Heimat,061143257,Bundesministerium des Innern und für Heimat einseins vierdreizweifünfsieben ,Bundesministerium des Innern und für Heimat einseins vierdreizweifünfsieben  Versorgungsbezüge
111,4876,25,2,88211,787302978.68,Zuweisungen an die Länder zur Förderung städtebaulicher Maßnahmen (Städtebauförderung),"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",250288211,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nullzwei achtachtzweieinseins ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nullzwei achtachtzweieinseins  Zuweisungen an die Länder zur Förderung städtebaulicher Maßnahmen (Städtebauförderung)"
112,3703,14,6,55310,778124396.47,"Erhaltung von Schiffen, Betriebswasserfahrzeugen, Booten, schwimmendem und sonstigem Marinegerät",Bundesministerium der Verteidigung,140655310,Bundesministerium der Verteidigung nullsechs fünffünfdreieinsnull ,"Bundesministerium der Verteidigung nullsechs fünffünfdreieinsnull  Erhaltung von Schiffen, Betriebswasserfahrzeugen, Booten, schwimmendem und sonstigem Marinegerät"
113,3634,14,3,44653,775609167.69,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Verteidigung,140344653,Bundesministerium der Verteidigung nulldrei vierviersechsfünfdrei ,Bundesministerium der Verteidigung nulldrei vierviersechsfünfdrei  Beihilfen aufgrund der Beihilfevorschriften
114,4855,25,1,89305,772788156.42,Zuschüsse zum Wohneigentumserwerb (Baukindergeld),"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",250189305,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins achtneundreinullfünf ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins achtneundreinullfünf  Zuschüsse zum Wohneigentumserwerb (Baukindergeld)"
115,3691,14,5,55418,735317000.0,Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,140555418,Bundesministerium der Verteidigung nullfünf fünffünfviereinsacht ,Bundesministerium der Verteidigung nullfünf fünffünfviereinsacht  Beschaffung des Großraumtransportflugzeuges A400M
116,5007,30,2,68180,733590668.6,AFBG - Zuschüsse an Teilnehmerinnen und Teilnehmer an beruflichen Aufstiegsmaßnahmen,Bundesministerium für Bildung und Forschung,300268180,Bundesministerium für Bildung und Forschung nullzwei sechsachteinsachtnull ,Bundesministerium für Bildung und Forschung nullzwei sechsachteinsachtnull  AFBG - Zuschüsse an Teilnehmerinnen und Teilnehmer an beruflichen Aufstiegsmaßnahmen
118,4213,16,3,89101,728698924.01,Endlagerung und Standortauswahlverfahren,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",160389101,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulldrei achtneuneinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulldrei achtneuneinsnulleins  Endlagerung und Standortauswahlverfahren"
