,index,Epl.,Kap.,Tit.,Ist 2021,Zweckbestimmung,ministries,2021 id,id_nlp_help,id_nlp,2021 Zweckbestimmung,id
21,2677,11,2,63682,10980000000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,110263682,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,110263682
22,2656,11,1,63211,10089620123.19,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,110163211,Bundesministerium für Arbeit und Soziales nulleins sechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleins sechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,110163211
25,2664,11,2,63201,7949213009.21,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,110263201,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,110263201
27,2954,12,1,11122,7638995850.59,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,120111122,Bundesministerium für Digitales und Verkehr nulleins einseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleins einseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut,Einnahmen aus der streckenbezogenen Maut,120111122
28,4458,17,1,68102,7461646527.04,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170168102,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei  Elterngeld",Elterngeld,170168102
30,2657,11,1,63613,5856834791.19,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,110163613,Bundesministerium für Arbeit und Soziales nulleins sechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleins sechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,110163613
31,3040,12,2,89111,5292500000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,120289111,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinseinseins ,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,120289111
32,2674,11,2,63616,5097760904.62,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263616,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,110263616
33,3348,12,16,63401,5055630000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,121663401,Bundesministerium für Digitales und Verkehr einssechs sechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr einssechs sechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,121663401
34,3937,15,1,63201,5026096779.52,Ausgleichszahlungen nach § 21 des Krankenhausfinanzierungsgesetzes,Bundesministerium für Gesundheit,150163201,Bundesministerium für Gesundheit nulleins sechsdreizweinulleins ,Bundesministerium für Gesundheit nulleins sechsdreizweinulleins  Ausgleichszahlungen nach § 21 des Krankenhausfinanzierungsgesetzes,,
35,2994,12,1,89111,4881468107.89,"Investitionen der ""Die Autobahn GmbH des Bundes""",Bundesministerium für Digitales und Verkehr,120189111,Bundesministerium für Digitales und Verkehr nulleins achtneuneinseinseins ,"Bundesministerium für Digitales und Verkehr nulleins achtneuneinseinseins  Investitionen der ""Die Autobahn GmbH des Bundes""","Investitionen der ""Die Autobahn GmbH des Bundes""",120189111
38,2659,11,1,68511,4040692188.82,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,110168511,Bundesministerium für Arbeit und Soziales nulleins sechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleins sechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit,Leistungen zur Eingliederung in Arbeit,110168511
39,3961,15,3,68407,3872519408.73,Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2,Bundesministerium für Gesundheit,150368407,Bundesministerium für Gesundheit nulldrei sechsachtviernullsieben ,Bundesministerium für Gesundheit nulldrei sechsachtviernullsieben  Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2,Zuschüsse zur zentralen Beschaffung von Impfstoffen gegen SARS-CoV-2,150368407
40,2672,11,2,63612,3463915000.0,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,110263612,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,110263612
41,3694,14,3,43353,3343588862.05,Versorgungsbezüge,Bundesministerium der Verteidigung,140343353,Bundesministerium der Verteidigung nulldrei vierdreidreifünfdrei ,Bundesministerium der Verteidigung nulldrei vierdreidreifünfdrei  Versorgungsbezüge,Versorgungsbezüge,140343353
43,3939,15,1,63604,3000000000.0,Zuweisungen an die Liquiditätsreserve des Gesundheitsfonds für das Zukunftsprogramm Krankenhäuser.,Bundesministerium für Gesundheit,150163604,Bundesministerium für Gesundheit nulleins sechsdreisechsnullvier ,Bundesministerium für Gesundheit nulleins sechsdreisechsnullvier  Zuweisungen an die Liquiditätsreserve des Gesundheitsfonds für das Zukunftsprogramm Krankenhäuser.,,
44,3772,14,6,55311,2712929198.53,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,140655311,Bundesministerium der Verteidigung nullsechs fünffünfdreieinseins ,"Bundesministerium der Verteidigung nullsechs fünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät","Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",140655311
45,3812,14,8,51802,2703771223.97,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,140851802,Bundesministerium der Verteidigung nullacht fünfeinsachtnullzwei ,Bundesministerium der Verteidigung nullacht fünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,140851802
46,3030,12,2,83101,2675000000.0,Erhöhung des Eigenkapitals der Deutschen Bahn AG,Bundesministerium für Digitales und Verkehr,120283101,Bundesministerium für Digitales und Verkehr nullzwei achtdreieinsnulleins ,Bundesministerium für Digitales und Verkehr nullzwei achtdreieinsnulleins  Erhöhung des Eigenkapitals der Deutschen Bahn AG,Erhöhung des Eigenkapitals der Deutschen Bahn AG,120283101
47,532,5,1,68732,2565031662.51,Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,050168732,Auswärtiges Amt nulleins sechsachtsiebendreizwei ,Auswärtiges Amt nulleins sechsachtsiebendreizwei  Humanitäre Hilfsmaßnahmen im Ausland,Humanitäre Hilfsmaßnahmen im Ausland,050168732
50,5070,60,2,69702,2428313302.0,Ausgleichszahlungen zur abschließenden Regelung gemäß 18. AtG-Novelle,Allgemeine Finanzverwaltung,600269702,Allgemeine Finanzverwaltung nullzwei sechsneunsiebennullzwei ,Allgemeine Finanzverwaltung nullzwei sechsneunsiebennullzwei  Ausgleichszahlungen zur abschließenden Regelung gemäß 18. AtG-Novelle,,
51,3913,14,13,42801,2337985768.86,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,141342801,Bundesministerium der Verteidigung einsdrei vierzweiachtnulleins ,Bundesministerium der Verteidigung einsdrei vierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,141342801
53,2316,10,1,63601,2323537621.96,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,100163601,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte,Zuschüsse zur Alterssicherung der Landwirte,100163601
55,5044,60,2,27202,2250000000.0,Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union,Allgemeine Finanzverwaltung,600227202,Allgemeine Finanzverwaltung nullzwei zweisiebenzweinullzwei ,Allgemeine Finanzverwaltung nullzwei zweisiebenzweinullzwei  Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union,Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union,600227202
59,3031,12,2,89101,2045000000.0,Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene,Bundesministerium für Digitales und Verkehr,120289101,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinsnulleins  Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene,Baukostenzuschüsse für Investitionen des Bedarfsplans Schiene,120289101
61,2978,12,1,68212,1950720727.24,"Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung",Bundesministerium für Digitales und Verkehr,120168212,Bundesministerium für Digitales und Verkehr nulleins sechsachtzweieinszwei ,"Bundesministerium für Digitales und Verkehr nulleins sechsachtzweieinszwei  Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung","Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung",120168212
63,4758,23,1,89611,1907725999.22,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230189611,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechseinseins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechseinseins  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,230189611
64,4868,30,3,63205,1872986004.4,Zukunftsvertrag Studium und Lehre stärken,Bundesministerium für Bildung und Forschung,300363205,Bundesministerium für Bildung und Forschung nulldrei sechsdreizweinullfünf ,Bundesministerium für Bildung und Forschung nulldrei sechsdreizweinullfünf  Zukunftsvertrag Studium und Lehre stärken,Zukunftsvertrag Studium und Lehre stärken,300363205
65,3176,12,10,68253,1778927959.91,Reduzierung der Trassenpreise im Personenfernverkehr,Bundesministerium für Digitales und Verkehr,121068253,Bundesministerium für Digitales und Verkehr einsnull sechsachtzweifünfdrei ,Bundesministerium für Digitales und Verkehr einsnull sechsachtzweifünfdrei  Reduzierung der Trassenpreise im Personenfernverkehr,Reduzierung der Trassenpreise im Personenfernverkehr,121068253
66,4755,23,1,89603,1756614159.5,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230189603,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit,Bilaterale Technische Zusammenarbeit,230189603
67,1858,8,13,42201,1726305305.39,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,081342201,Bundesministerium der Finanzen einsdrei vierzweizweinulleins ,Bundesministerium der Finanzen einsdrei vierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,081342201
69,4772,23,3,68701,1476251999.18,"Beiträge an die Vereinten Nationen, ihre Sonderorganisationen sowie andere internationale Einrichtungen und internationale Nichtregierungsorganisationen",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230368701,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldrei sechsachtsiebennulleins ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldrei sechsachtsiebennulleins  Beiträge an die Vereinten Nationen, ihre Sonderorganisationen sowie andere internationale Einrichtungen und internationale Nichtregierungsorganisationen","Beiträge an die Vereinten Nationen, ihre Sonderorganisationen sowie andere internationale Einrichtungen und internationale Nichtregierungsorganisationen",230368701
71,2680,11,2,63685,1452005290.86,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",Bundesministerium für Arbeit und Soziales,110263685,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtfünf ,"Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen","Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",110263685
72,2319,10,1,63604,1386715000.0,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,100163604,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte,Zuschüsse zur Krankenversicherung der Landwirte,100163604
73,3909,14,13,42201,1372656626.58,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,141342201,Bundesministerium der Verteidigung einsdrei vierzweizweinulleins ,Bundesministerium der Verteidigung einsdrei vierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,141342201
74,4464,17,1,68113,1262641907.34,Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170168113,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinseinsdrei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinseinsdrei  Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz",Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz,170168113
75,2983,12,1,74142,1252900653.5,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,120174142,Bundesministerium für Digitales und Verkehr nulleins siebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr nulleins siebenviereinsvierzwei  Erhaltung (Bundesstraßen),Erhaltung (Bundesstraßen),120174142
77,3901,14,13,53201,1230795886.8,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,141353201,Bundesministerium der Verteidigung einsdrei fünfdreizweinulleins ,Bundesministerium der Verteidigung einsdrei fünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Aufträge und Dienstleistungen im Bereich Informationstechnik,141353201
78,5079,60,2,86621,1226000000.0,Darlehen an den Poverty Reduction and Growth Trust (PRGT),Allgemeine Finanzverwaltung,600286621,Allgemeine Finanzverwaltung nullzwei achtsechssechszweieins ,Allgemeine Finanzverwaltung nullzwei achtsechssechszweieins  Darlehen an den Poverty Reduction and Growth Trust (PRGT),Darlehen an den Poverty Reduction and Growth Trust (PRGT),600286621
79,1749,8,1,69931,1222402032.46,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,080169931,Bundesministerium der Finanzen nulleins sechsneunneundreieins ,Bundesministerium der Finanzen nulleins sechsneunneundreieins  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,080169931
82,4753,23,1,68706,1126704119.35,"Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230168706,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins sechsachtsiebennullsechs ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins sechsachtsiebennullsechs  Krisenbewältigung und Wiederaufbau, Infrastruktur","Krisenbewältigung und Wiederaufbau, Infrastruktur",230168706
83,3756,14,5,55417,1080918555.14,Beschaffung des Waffensystems Eurofighter,Bundesministerium der Verteidigung,140555417,Bundesministerium der Verteidigung nullfünf fünffünfviereinssieben ,Bundesministerium der Verteidigung nullfünf fünffünfviereinssieben  Beschaffung des Waffensystems Eurofighter,Beschaffung des Waffensystems Eurofighter,140555417
85,3944,15,2,63602,1000000000.0,Leistungen des Bundes an den Ausgleichsfonds der Pflegeversicherung für SARS-CoV-2-Pandemie verursachte Belastungen,Bundesministerium für Gesundheit,150263602,Bundesministerium für Gesundheit nullzwei sechsdreisechsnullzwei ,Bundesministerium für Gesundheit nullzwei sechsdreisechsnullzwei  Leistungen des Bundes an den Ausgleichsfonds der Pflegeversicherung für SARS-CoV-2-Pandemie verursachte Belastungen,,
87,4457,17,1,63207,980679194.09,Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170163207,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsdreizweinullsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsdreizweinullsieben  Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes",Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,170163207
89,3175,12,10,68252,944069741.34,Reduzierung Trassenpreise im Schienengüterverkehr,Bundesministerium für Digitales und Verkehr,121068252,Bundesministerium für Digitales und Verkehr einsnull sechsachtzweifünfzwei ,Bundesministerium für Digitales und Verkehr einsnull sechsachtzweifünfzwei  Reduzierung Trassenpreise im Schienengüterverkehr,Reduzierung Trassenpreise im Schienengüterverkehr,121068252
90,3957,15,3,68403,941950951.25,Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,Bundesministerium für Gesundheit,150368403,Bundesministerium für Gesundheit nulldrei sechsachtviernulldrei ,Bundesministerium für Gesundheit nulldrei sechsachtviernulldrei  Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,150368403
91,268,4,14,54101,941825448.9,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,041454101,Bundeskanzler und Bundeskanzleramt einsvier fünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt einsvier fünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst,Zuschuss an den Bundesnachrichtendienst,041454101
92,1959,9,1,89631,920000000.0,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,090189631,Bundesministerium für Wirtschaft und Klimaschutz nulleins achtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleins achtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,090189631
93,3858,14,11,43257,880426653.06,Versorgungsbezüge,Bundesministerium der Verteidigung,141143257,Bundesministerium der Verteidigung einseins vierdreizweifünfsieben ,Bundesministerium der Verteidigung einseins vierdreizweifünfsieben  Versorgungsbezüge,Versorgungsbezüge,141143257
97,2981,12,1,74122,852402976.01,Bedarfsplanmaßnahmen (Bundesstraßen),Bundesministerium für Digitales und Verkehr,120174122,Bundesministerium für Digitales und Verkehr nulleins siebenviereinszweizwei ,Bundesministerium für Digitales und Verkehr nulleins siebenviereinszweizwei  Bedarfsplanmaßnahmen (Bundesstraßen),Bedarfsplanmaßnahmen (Bundesstraßen),120174122
99,1796,8,11,43257,834406406.9,Versorgungsbezüge,Bundesministerium der Finanzen,081143257,Bundesministerium der Finanzen einseins vierdreizweifünfsieben ,Bundesministerium der Finanzen einseins vierdreizweifünfsieben  Versorgungsbezüge,Versorgungsbezüge,081143257
100,4754,23,1,89601,801100000.0,Finanzielle Zusammenarbeit mit Regionen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230189601,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechsnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechsnulleins  Finanzielle Zusammenarbeit mit Regionen,Finanzielle Zusammenarbeit mit Regionen,230189601
101,3753,14,5,55413,798139275.02,"Beschaffung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,140555413,Bundesministerium der Verteidigung nullfünf fünffünfviereinsdrei ,"Bundesministerium der Verteidigung nullfünf fünffünfviereinsdrei  Beschaffung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät","Beschaffung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",140555413
