,index,Epl.,Kap.,Tit.,Ist 2019,Zweckbestimmung,ministries,2019 id,id_nlp_help,id_nlp,2019 Zweckbestimmung,id
25,2563,11,1,63211,6457534859.85,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,110163211,Bundesministerium für Arbeit und Soziales nulleins sechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleins sechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,110163211
26,2564,11,1,63613,5767823907.61,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,110163613,Bundesministerium für Arbeit und Soziales nulleins sechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleins sechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,110163613
27,2578,11,2,63616,5256480408.8,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263616,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,110263616
28,3261,12,16,63401,5162140000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,121663401,Bundesministerium für Digitales und Verkehr einssechs sechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr einssechs sechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,121663401
29,2983,12,2,89111,4150000000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,120289111,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinseinseins ,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,120289111
30,2566,11,1,68511,3896307262.93,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,110168511,Bundesministerium für Arbeit und Soziales nulleins sechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleins sechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit,Leistungen zur Eingliederung in Arbeit,110168511
31,2576,11,2,63612,3412251690.9,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,110263612,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,110263612
32,3603,14,3,43353,3321883080.48,Versorgungsbezüge,Bundesministerium der Verteidigung,140343353,Bundesministerium der Verteidigung nulldrei vierdreidreifünfdrei ,Bundesministerium der Verteidigung nulldrei vierdreidreifünfdrei  Versorgungsbezüge,Versorgungsbezüge,140343353
34,2904,12,1,74132,2845545682.79,Erhaltung (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,120174132,Bundesministerium für Digitales und Verkehr nulleins siebenviereinsdreizwei ,Bundesministerium für Digitales und Verkehr nulleins siebenviereinsdreizwei  Erhaltung (Bundesautobahnen),Pauschale Abgeltung der Zweckausgaben bei Entwurfsbearbeitung und Bauaufsicht (Bundesautobahnen),120163212
36,3718,14,8,51802,2591668979.19,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,140851802,Bundesministerium der Verteidigung nullacht fünfeinsachtnullzwei ,Bundesministerium der Verteidigung nullacht fünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,140851802
37,4878,60,2,12104,2433469846.36,Anteil des Bundes am Reingewinn der Deutschen Bundesbank,Allgemeine Finanzverwaltung,600212104,Allgemeine Finanzverwaltung nullzwei einszweieinsnullvier ,Allgemeine Finanzverwaltung nullzwei einszweieinsnullvier  Anteil des Bundes am Reingewinn der Deutschen Bundesbank,,
38,3814,14,13,42801,2398861217.82,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,141342801,Bundesministerium der Verteidigung einsdrei vierzweiachtnulleins ,Bundesministerium der Verteidigung einsdrei vierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,141342801
39,2235,10,1,63601,2359227665.51,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,100163601,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte,Zuschüsse zur Alterssicherung der Landwirte,100163601
42,4711,30,3,68505,2207143775.0,Hochschulpakt 2020,Bundesministerium für Bildung und Forschung,300368505,Bundesministerium für Bildung und Forschung nulldrei sechsachtfünfnullfünf ,Bundesministerium für Bildung und Forschung nulldrei sechsachtfünfnullfünf  Hochschulpakt 2020,,
43,3678,14,6,55311,2148429465.45,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,140655311,Bundesministerium der Verteidigung nullsechs fünffünfdreieinseins ,"Bundesministerium der Verteidigung nullsechs fünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät","Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",140655311
48,4892,60,2,61401,1791954000.0,Zuweisung an den Energie- und Klimafonds,Allgemeine Finanzverwaltung,600261401,Allgemeine Finanzverwaltung nullzwei sechseinsviernulleins ,Allgemeine Finanzverwaltung nullzwei sechseinsviernulleins  Zuweisung an den Energie- und Klimafonds,,
51,520,5,1,68732,1581351132.13,Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,050168732,Auswärtiges Amt nulleins sechsachtsiebendreizwei ,Auswärtiges Amt nulleins sechsachtsiebendreizwei  Humanitäre Hilfsmaßnahmen im Ausland,Humanitäre Hilfsmaßnahmen im Ausland,050168732
52,1790,8,13,42201,1569983206.91,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,081342201,Bundesministerium der Finanzen einsdrei vierzweizweinulleins ,Bundesministerium der Finanzen einsdrei vierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,081342201
53,4603,23,1,89603,1534367649.97,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230189603,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit,Bilaterale Technische Zusammenarbeit,230189603
54,2975,12,2,89101,1529196517.49,Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,120289101,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinsnulleins  Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für Investitionen in die Schienenwege der nicht bundeseigenen Eisenbahnen,121089151
55,4606,23,1,89611,1519249619.83,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230189611,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechseinseins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins achtneunsechseinseins  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,230189611
56,846,6,4,88202,1518200000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung,Bundesministerium des Innern und für Heimat,060488202,Bundesministerium des Innern und für Heimat nullvier achtachtzweinullzwei ,Bundesministerium des Innern und für Heimat nullvier achtachtzweinullzwei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung,,
57,2238,10,1,63604,1406980000.0,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,100163604,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte,Zuschüsse zur Krankenversicherung der Landwirte,100163604
59,2584,11,2,63685,1336905542.34,Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,Bundesministerium für Arbeit und Soziales,110263685,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtfünf ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",110263685
60,3050,12,6,88203,1335500000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Bundesministerium für Digitales und Verkehr,120688203,Bundesministerium für Digitales und Verkehr nullsechs achtachtzweinulldrei ,Bundesministerium für Digitales und Verkehr nullsechs achtachtzweinulldrei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Erhaltung der verkehrlichen Infrastruktur,120378001
61,2906,12,1,74142,1292129651.9,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,120174142,Bundesministerium für Digitales und Verkehr nulleins siebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr nulleins siebenviereinsvierzwei  Erhaltung (Bundesstraßen),Erhaltung (Bundesstraßen),120174142
63,3810,14,13,42201,1235668982.8,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Verteidigung,141342201,Bundesministerium der Verteidigung einsdrei vierzweizweinulleins ,Bundesministerium der Verteidigung einsdrei vierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,141342201
68,4836,32,5,57508,991103314.68,Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Bundesschuld,320557508,Bundesschuld nullfünf fünfsiebenfünfnullacht ,Bundesschuld nullfünf fünfsiebenfünfnullacht  Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),320557508
70,4623,23,3,89602,967011200.0,"Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230389602,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldrei achtneunsechsnullzwei ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldrei achtneunsechsnullzwei  Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)","Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",230389602
71,270,4,14,54101,954810888.44,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,041454101,Bundeskanzler und Bundeskanzleramt einsvier fünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt einsvier fünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst,Zuschuss an den Bundesnachrichtendienst,041454101
72,3805,14,13,53201,941326054.7,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium der Verteidigung,141353201,Bundesministerium der Verteidigung einsdrei fünfdreizweinulleins ,Bundesministerium der Verteidigung einsdrei fünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Aufträge und Dienstleistungen im Bereich Informationstechnik,141353201
73,2901,12,1,74111,936611878.27,Bedarfsplanmaßnahmen (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,120174111,Bundesministerium für Digitales und Verkehr nulleins siebenviereinseinseins ,Bundesministerium für Digitales und Verkehr nulleins siebenviereinseinseins  Bedarfsplanmaßnahmen (Bundesautobahnen),Maßnahmen zur Lärmsanierung an bestehenden Schienenwegen der Eisenbahnen des Bundes,120289105
77,1912,9,3,68311,884296503.83,"Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",Bundesministerium für Wirtschaft und Klimaschutz,090368311,Bundesministerium für Wirtschaft und Klimaschutz nulldrei sechsachtdreieinseins ,"Bundesministerium für Wirtschaft und Klimaschutz nulldrei sechsachtdreieinseins  Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",,
78,3764,14,11,43257,873043572.69,Versorgungsbezüge,Bundesministerium der Verteidigung,141143257,Bundesministerium der Verteidigung einseins vierdreizweifünfsieben ,Bundesministerium der Verteidigung einseins vierdreizweifünfsieben  Versorgungsbezüge,Versorgungsbezüge,141143257
79,4340,17,1,63207,871230853.83,Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170163207,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsdreizweinullsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsdreizweinullsieben  Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes",Ausgaben nach § 8 Abs. 1 des Unterhaltsvorschussgesetzes,170163207
80,2902,12,1,74122,859182226.64,Bedarfsplanmaßnahmen (Bundesstraßen),Bundesministerium für Digitales und Verkehr,120174122,Bundesministerium für Digitales und Verkehr nulleins siebenviereinszweizwei ,Bundesministerium für Digitales und Verkehr nulleins siebenviereinszweizwei  Bedarfsplanmaßnahmen (Bundesstraßen),Bedarfsplanmaßnahmen (Bundesstraßen),120174122
81,1887,9,1,89631,857150000.0,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,090189631,Bundesministerium für Wirtschaft und Klimaschutz nulleins achtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleins achtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,090189631
82,1679,8,1,69931,824739809.87,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,080169931,Bundesministerium der Finanzen nulleins sechsneunneundreieins ,Bundesministerium der Finanzen nulleins sechsneunneundreieins  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,080169931
83,1729,8,11,43257,815362346.57,Versorgungsbezüge,Bundesministerium der Finanzen,081143257,Bundesministerium der Finanzen einseins vierdreizweifünfsieben ,Bundesministerium der Finanzen einseins vierdreizweifünfsieben  Versorgungsbezüge,Versorgungsbezüge,081143257
85,4601,23,1,68706,799913429.14,"Krisenbewältigung und Wiederaufbau, Infrastruktur",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230168706,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins sechsachtsiebennullsechs ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins sechsachtsiebennullsechs  Krisenbewältigung und Wiederaufbau, Infrastruktur","Krisenbewältigung und Wiederaufbau, Infrastruktur",230168706
87,3663,14,5,55418,770693416.31,Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,140555418,Bundesministerium der Verteidigung nullfünf fünffünfviereinsacht ,Bundesministerium der Verteidigung nullfünf fünffünfviereinsacht  Beschaffung des Großraumtransportflugzeuges A400M,Beschaffung des Großraumtransportflugzeuges A400M,140555418
89,3656,14,5,55408,738038194.64,Beschaffung von Munition,Bundesministerium der Verteidigung,140555408,Bundesministerium der Verteidigung nullfünf fünffünfviernullacht ,Bundesministerium der Verteidigung nullfünf fünffünfviernullacht  Beschaffung von Munition,Beschaffung von Munition,140555408
90,3730,14,8,55811,711412809.48,"Große Neu-, Um- und Erweiterungsbauten",Bundesministerium der Verteidigung,140855811,Bundesministerium der Verteidigung nullacht fünffünfachteinseins ,"Bundesministerium der Verteidigung nullacht fünffünfachteinseins  Große Neu-, Um- und Erweiterungsbauten","Große Neu-, Um- und Erweiterungsbauten",140855811
92,4701,30,2,88260,695300000.0,Kompensationsmittel für die Abschaffung der GA Hochschulbau,Bundesministerium für Bildung und Forschung,300288260,Bundesministerium für Bildung und Forschung nullzwei achtachtzweisechsnull ,Bundesministerium für Bildung und Forschung nullzwei achtachtzweisechsnull  Kompensationsmittel für die Abschaffung der GA Hochschulbau,,
93,3664,14,5,55420,684348369.02,Beschaffung Schützenpanzer PUMA,Bundesministerium der Verteidigung,140555420,Bundesministerium der Verteidigung nullfünf fünffünfvierzweinull ,Bundesministerium der Verteidigung nullfünf fünffünfvierzweinull  Beschaffung Schützenpanzer PUMA,,
94,3608,14,3,44653,681561785.17,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Verteidigung,140344653,Bundesministerium der Verteidigung nulldrei vierviersechsfünfdrei ,Bundesministerium der Verteidigung nulldrei vierviersechsfünfdrei  Beihilfen aufgrund der Beihilfevorschriften,Beihilfen aufgrund der Beihilfevorschriften,140344653
95,4596,23,1,18601,679414102.85,Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230118601,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins einsachtsechsnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleins einsachtsechsnulleins  Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Zinsen aus Darlehen der bilateralen Finanziellen Zusammenarbeit und Erträge aus Treuhandbeteiligungen,230116601
96,2893,12,1,52111,661956149.38,Betriebsdienst (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,120152111,Bundesministerium für Digitales und Verkehr nulleins fünfzweieinseinseins ,Bundesministerium für Digitales und Verkehr nulleins fünfzweieinseinseins  Betriebsdienst (Bundesautobahnen),"Investitionen der ""Die Autobahn GmbH des Bundes""",120189111
97,4627,23,4,68701,659241090.16,Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,230468701,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullvier sechsachtsiebennulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullvier sechsachtsiebennulleins  Zahlungen an Einrichtungen der Weltbankgruppe,Zahlungen an Einrichtungen der Weltbankgruppe,230468701
98,512,5,1,68710,657137970.71,Beitrag an die Vereinten Nationen,Auswärtiges Amt,050168710,Auswärtiges Amt nulleins sechsachtsiebeneinsnull ,Auswärtiges Amt nulleins sechsachtsiebeneinsnull  Beitrag an die Vereinten Nationen,Beitrag an die Vereinten Nationen,050168710
99,2970,12,2,12101,650000000.0,Gewinne aus Beteiligungen,Bundesministerium für Digitales und Verkehr,120212101,Bundesministerium für Digitales und Verkehr nullzwei einszweieinsnulleins ,Bundesministerium für Digitales und Verkehr nullzwei einszweieinsnulleins  Gewinne aus Beteiligungen,Gewinne aus Beteiligungen,120212101
100,803,6,3,68412,647978946.04,Durchführung von Integrationskursen nach der Integrationskursverordnung,Bundesministerium des Innern und für Heimat,060368412,Bundesministerium des Innern und für Heimat nulldrei sechsachtviereinszwei ,Bundesministerium des Innern und für Heimat nulldrei sechsachtviereinszwei  Durchführung von Integrationskursen nach der Integrationskursverordnung,Durchführung von Integrationskursen nach der Integrationskursverordnung,060368412
101,854,6,4,88211,622065137.9,Zuweisungen an die Länder zur Förderung städtebaulicher Maßnahmen (Städtebauförderung),Bundesministerium des Innern und für Heimat,060488211,Bundesministerium des Innern und für Heimat nullvier achtachtzweieinseins ,Bundesministerium des Innern und für Heimat nullvier achtachtzweieinseins  Zuweisungen an die Länder zur Förderung städtebaulicher Maßnahmen (Städtebauförderung),,
102,3604,14,3,43354,614629218.41,"Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,140343354,Bundesministerium der Verteidigung nulldrei vierdreidreifünfvier ,"Bundesministerium der Verteidigung nulldrei vierdreidreifünfvier  Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge","Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",140343354
104,3003,12,3,78002,608504568.54,"Ersatz-, Aus- und Neubaumaßnahmen an Bundeswasserstraßen",Bundesministerium für Digitales und Verkehr,120378002,Bundesministerium für Digitales und Verkehr nulldrei siebenachtnullnullzwei ,"Bundesministerium für Digitales und Verkehr nulldrei siebenachtnullnullzwei  Ersatz-, Aus- und Neubaumaßnahmen an Bundeswasserstraßen","Ersatz-, Aus- und Neubaumaßnahmen an Bundeswasserstraßen",120378002
105,3338,12,18,42801,608174333.77,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,121842801,Bundesministerium für Digitales und Verkehr einsacht vierzweiachtnulleins ,Bundesministerium für Digitales und Verkehr einsacht vierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,121842801
