,index,Epl.,Kap.,Tit.,Ist 2015,Zweckbestimmung,ministries,2015 id,id_nlp_help,id_nlp,2015 Zweck,id
26,2357,11,1,63211,5249044147.39,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111101,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101.0
27,2358,11,1,63613,4809520646.89,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131101,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101.0
28,2967,12,9,11102,4386268539.67,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111021209,Bundesministerium für Digitales und Verkehr nullneuneinseinseinsnullzwei ,Bundesministerium für Digitales und Verkehr nullneuneinseinseinsnullzwei  Einnahmen aus der streckenbezogenen Maut,Einnahmen aus der streckenbezogenen Maut,111221201.0
31,4863,60,2,88401,3500000000.0,"Zuweisung an das Sondervermögen ""Kommunalinvestitionsförderungsfonds""",Allgemeine Finanzverwaltung,884016002,Allgemeine Finanzverwaltung nullzweiachtachtviernulleins ,"Allgemeine Finanzverwaltung nullzweiachtachtviernulleins  Zuweisung an das Sondervermögen ""Kommunalinvestitionsförderungsfonds""",,
32,3349,12,22,89111,3350000000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111222,Bundesministerium für Digitales und Verkehr zweizweiachtneuneinseinseins ,Bundesministerium für Digitales und Verkehr zweizweiachtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111202.0
33,2360,11,1,68511,3234392462.03,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111101,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit,Leistungen zur Eingliederung in Arbeit,685111101.0
34,2367,11,2,63612,3077976895.94,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636121102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,636121102.0
35,3684,14,68,43353,3020918954.74,Versorgungsbezüge,Bundesministerium der Verteidigung,433531468,Bundesministerium der Verteidigung sechsachtvierdreidreifünfdrei ,Bundesministerium der Verteidigung sechsachtvierdreidreifünfdrei  Versorgungsbezüge,Versorgungsbezüge,433531403.0
36,4831,60,2,12104,2953608878.95,Anteil des Bundes am Reingewinn der Deutschen Bundesbank,Allgemeine Finanzverwaltung,121046002,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier ,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier  Anteil des Bundes am Reingewinn der Deutschen Bundesbank,,
37,4787,32,5,57503,2783881868.24,Zinsen für Bundesobligationen,Bundesschuld,575033205,Bundesschuld nullfünffünfsiebenfünfnulldrei ,Bundesschuld nullfünffünfsiebenfünfnulldrei  Zinsen für Bundesobligationen,Zinsen für Bundesobligationen,575033205.0
39,3510,14,4,42801,2595281937.06,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,428011404,Bundesministerium der Verteidigung nullviervierzweiachtnulleins ,Bundesministerium der Verteidigung nullviervierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428011412.0
40,3598,14,12,51802,2556222016.42,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021412,Bundesministerium der Verteidigung einszweifünfeinsachtnullzwei ,Bundesministerium der Verteidigung einszweifünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021408.0
43,2045,10,1,63601,2168524566.1,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte,Zuschüsse zur Alterssicherung der Landwirte,636011001.0
44,4679,30,3,68505,2119447923.0,Hochschulpakt 2020,Bundesministerium für Bildung und Forschung,685053003,Bundesministerium für Bildung und Forschung nulldreisechsachtfünfnullfünf ,Bundesministerium für Bildung und Forschung nulldreisechsachtfünfnullfünf  Hochschulpakt 2020,,
45,4852,60,2,61401,2081000000.0,Zuweisung an den Energie- und Klimafonds,Allgemeine Finanzverwaltung,614016002,Allgemeine Finanzverwaltung nullzweisechseinsviernulleins ,Allgemeine Finanzverwaltung nullzweisechseinsviernulleins  Zuweisung an den Energie- und Klimafonds,,
49,3003,12,9,74132,1698934379.08,Erhaltung (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741321209,Bundesministerium für Digitales und Verkehr nullneunsiebenviereinsdreizwei ,Bundesministerium für Digitales und Verkehr nullneunsiebenviereinsdreizwei  Erhaltung (Bundesautobahnen),Pauschale Abgeltung der Zweckausgaben bei Entwurfsbearbeitung und Bauaufsicht (Bundesautobahnen),632121201.0
51,3584,14,9,55311,1534034688.4,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111409,Bundesministerium der Verteidigung nullneunfünffünfdreieinseins ,"Bundesministerium der Verteidigung nullneunfünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät","Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",553111406.0
53,2048,10,1,63604,1371130000.0,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636041001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte,Zuschüsse zur Krankenversicherung der Landwirte,636041001.0
54,4818,60,1,4101,1370531536.93,Kernbrennstoffsteuer,Allgemeine Finanzverwaltung,41016001,Allgemeine Finanzverwaltung nulleinsnullviereinsnulleins ,Allgemeine Finanzverwaltung nulleinsnullviereinsnulleins  Kernbrennstoffsteuer,,
55,1605,8,13,42201,1364356228.9,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,422010813,Bundesministerium der Finanzen einsdreivierzweizweinulleins ,Bundesministerium der Finanzen einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422010813.0
56,3272,12,18,88203,1335500000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Bundesministerium für Digitales und Verkehr,882031218,Bundesministerium für Digitales und Verkehr einsachtachtachtzweinulldrei ,Bundesministerium für Digitales und Verkehr einsachtachtachtzweinulldrei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Erstattungen an die Versorgungsanstalt des Bundes und der Länder für die Übergangsversorgung der Angestellten im Flugverkehrs-Kontrolldienst,636111221.0
58,4568,23,1,89611,1251693000.0,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896112301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechseinseins  Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,Bilaterale Finanzielle Zusammenarbeit - Zuschüsse,896112301.0
59,4832,60,2,13301,1238311250.77,Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,Allgemeine Finanzverwaltung,133016002,Allgemeine Finanzverwaltung nullzweieinsdreidreinulleins ,Allgemeine Finanzverwaltung nullzweieinsdreidreinulleins  Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,133016002.0
62,2375,11,2,63685,1198491534.49,Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,Bundesministerium für Arbeit und Soziales,636851102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",636851102.0
63,4565,23,1,89603,1152496351.81,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896032301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinsachtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit,Bilaterale Technische Zusammenarbeit,896032301.0
66,1744,9,3,68311,1088300000.0,"Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",Bundesministerium für Wirtschaft und Klimaschutz,683110903,Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins  Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",,
68,3509,14,4,42201,1029564112.88,"Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Professorinnen, Professoren, Beamtinnen und Beamten",Bundesministerium der Verteidigung,422011404,Bundesministerium der Verteidigung nullviervierzweizweinulleins ,"Bundesministerium der Verteidigung nullviervierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Professorinnen, Professoren, Beamtinnen und Beamten",,
70,3343,12,22,89101,963000000.0,Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891011222,Bundesministerium für Digitales und Verkehr zweizweiachtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr zweizweiachtneuneinsnulleins  Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für Investitionen in die Schienenwege der nicht bundeseigenen Eisenbahnen,891511210.0
73,3046,12,10,74142,867663508.11,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741421210,Bundesministerium für Digitales und Verkehr einsnullsiebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr einsnullsiebenviereinsvierzwei  Erhaltung (Bundesstraßen),Erhaltung (Bundesstraßen),741421201.0
74,4332,17,1,68103,855939436.0,Betreuungsgeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681031701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnulldrei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnulldrei  Betreuungsgeld",Kindergeld für Anspruchsberechtigte nach § 1 BKGG,681111701.0
78,3675,14,67,43257,778993575.3,Versorgungsbezüge,Bundesministerium der Verteidigung,432571467,Bundesministerium der Verteidigung sechssiebenvierdreizweifünfsieben ,Bundesministerium der Verteidigung sechssiebenvierdreizweifünfsieben  Versorgungsbezüge,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",453011413.0
79,1547,8,11,43257,740732539.19,Versorgungsbezüge,Bundesministerium der Finanzen,432570811,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben ,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben  Versorgungsbezüge,Versorgungsbezüge,432570811.0
80,3632,14,16,55418,740482762.64,Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,554181416,Bundesministerium der Verteidigung einssechsfünffünfviereinsacht ,Bundesministerium der Verteidigung einssechsfünffünfviereinsacht  Beschaffung des Großraumtransportflugzeuges A400M,Beschaffung des Großraumtransportflugzeuges A400M,554181405.0
81,3685,14,68,43354,725452243.98,"Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,433541468,Bundesministerium der Verteidigung sechsachtvierdreidreifünfvier ,"Bundesministerium der Verteidigung sechsachtvierdreidreifünfvier  Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge","Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",433541403.0
82,1720,9,1,89631,723950000.0,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,896310901,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,896310901.0
83,3330,12,22,12101,700000000.0,Gewinne aus Beteiligungen,Bundesministerium für Digitales und Verkehr,121011222,Bundesministerium für Digitales und Verkehr zweizweieinszweieinsnulleins ,Bundesministerium für Digitales und Verkehr zweizweieinszweieinsnulleins  Gewinne aus Beteiligungen,Gewinne aus Beteiligungen,121011202.0
84,4668,30,2,88260,695300000.0,Kompensationsmittel für die Abschaffung der GA Hochschulbau,Bundesministerium für Bildung und Forschung,882603002,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechsnull ,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechsnull  Kompensationsmittel für die Abschaffung der GA Hochschulbau,,
85,4591,23,4,68701,679756001.58,Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687012304,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennulleins  Zahlungen an Einrichtungen der Weltbankgruppe,Zahlungen an Einrichtungen der Weltbankgruppe,687012304.0
86,2687,12,2,13101,660136666.67,"Erlöse aus der Vergabe der 700 MHz- und 1,5 GHz-Frequenzen (""Digitale Dividende II"")",Bundesministerium für Digitales und Verkehr,131011202,Bundesministerium für Digitales und Verkehr nullzweieinsdreieinsnulleins ,"Bundesministerium für Digitales und Verkehr nullzweieinsdreieinsnulleins  Erlöse aus der Vergabe der 700 MHz- und 1,5 GHz-Frequenzen (""Digitale Dividende II"")",,
87,4587,23,3,89602,656885700.56,"Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896022303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullzwei ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreiachtneunsechsnullzwei  Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)","Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",896022303.0
89,3561,14,7,53256,643903798.52,Ausgaben für Aufträge und Dienstleistungen,Bundesministerium der Verteidigung,532561407,Bundesministerium der Verteidigung nullsiebenfünfdreizweifünfsechs ,Bundesministerium der Verteidigung nullsiebenfünfdreizweifünfsechs  Ausgaben für Aufträge und Dienstleistungen,Aufträge und Dienstleistungen im Bereich Informationstechnik,532011403.0
91,2388,11,3,68111,617472813.0,Versorgungsbezüge für Berechtigte nach dem BVG,Bundesministerium für Arbeit und Soziales,681111103,Bundesministerium für Arbeit und Soziales nulldreisechsachteinseinseins ,Bundesministerium für Arbeit und Soziales nulldreisechsachteinseinseins  Versorgungsbezüge für Berechtigte nach dem BVG,Versorgungsbezüge für Berechtigte nach dem BVG,681111103.0
92,3000,12,9,74111,601731462.1,Bedarfsplanmaßnahmen (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741111209,Bundesministerium für Digitales und Verkehr nullneunsiebenviereinseinseins ,Bundesministerium für Digitales und Verkehr nullneunsiebenviereinseinseins  Bedarfsplanmaßnahmen (Bundesautobahnen),"Investitionen der ""Die Autobahn GmbH des Bundes""",891111201.0
93,3032,12,10,52111,586525482.23,Betriebsdienst (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,521111210,Bundesministerium für Digitales und Verkehr einsnullfünfzweieinseinseins ,Bundesministerium für Digitales und Verkehr einsnullfünfzweieinseinseins  Betriebsdienst (Bundesautobahnen),Maßnahmen zur Lärmsanierung an bestehenden Schienenwegen der Eisenbahnen des Bundes,891051202.0
94,4558,23,1,18601,582543368.56,Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,186012301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinseinsachtsechsnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinseinsachtsechsnulleins  Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Zinsen aus Darlehen der bilateralen Finanziellen Zusammenarbeit und Erträge aus Treuhandbeteiligungen,166012301.0
95,1507,8,1,69931,572407108.55,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Bundesministerium der Finanzen,699310801,Bundesministerium der Finanzen nulleinssechsneunneundreieins ,Bundesministerium der Finanzen nulleinssechsneunneundreieins  Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,Abschließende Leistung zur Abgeltung von Härten in Einzelfällen,699310801.0
97,511,5,1,68710,562721088.24,Beitrag an die Vereinten Nationen,Auswärtiges Amt,687100501,Auswärtiges Amt nulleinssechsachtsiebeneinsnull ,Auswärtiges Amt nulleinssechsachtsiebeneinsnull  Beitrag an die Vereinten Nationen,Beitrag an die Vereinten Nationen,687100501.0
98,285,4,4,54101,557783911.02,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,541010404,Bundeskanzler und Bundeskanzleramt nullvierfünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt nullvierfünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst,Zuschuss an den Bundesnachrichtendienst,541010414.0
99,1698,9,1,68301,555404526.79,"Innovationsförderung, Zentrales Innovationsprogramm Mittelstand (ZIM)",Bundesministerium für Wirtschaft und Klimaschutz,683010901,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtdreinulleins ,"Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtdreinulleins  Innovationsförderung, Zentrales Innovationsprogramm Mittelstand (ZIM)","Zentrales Innovationsprogramm Mittelstand (ZIM), Innovationsprogramm für Geschäftsmodelle und Pionierlösungen (IGP)",683010901.0
100,1748,9,3,66122,540472494.27,"Förderung von Maßnahmen zur energetischen Gebäudesanierung ""CO2-Gebäudesanierungsprogramm"" der KfW- Bankengruppe - Abwicklung",Bundesministerium für Wirtschaft und Klimaschutz,661220903,Bundesministerium für Wirtschaft und Klimaschutz nulldreisechssechseinszweizwei ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreisechssechseinszweizwei  Förderung von Maßnahmen zur energetischen Gebäudesanierung ""CO2-Gebäudesanierungsprogramm"" der KfW- Bankengruppe - Abwicklung",,
102,3688,14,68,44653,536629650.01,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Verteidigung,446531468,Bundesministerium der Verteidigung sechsachtvierviersechsfünfdrei ,Bundesministerium der Verteidigung sechsachtvierviersechsfünfdrei  Beihilfen aufgrund der Beihilfevorschriften,Beihilfen aufgrund der Beihilfevorschriften,446531403.0
105,4073,16,6,88202,518200000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",882021606,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechsachtachtzweinullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechsachtachtzweinullzwei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung",,
106,4796,32,8,87201,498519533.03,"Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",Bundesschuld,872013208,Bundesschuld nullachtachtsiebenzweinulleins ,"Bundesschuld nullachtachtsiebenzweinulleins  Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden","Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden",876013208.0
