,index,Epl.,Kap.,Tit.,Ist 2013,Zweckbestimmung,ministries,2013 id,id_nlp_help,id_nlp,2013 Zweck,id
56,5111,60,1,4101,1285072070.0,Kernbrennstoffsteuer,Allgemeine Finanzverwaltung,41016001,Allgemeine Finanzverwaltung nulleinsnullviereinsnulleins ,Allgemeine Finanzverwaltung nulleinsnullviereinsnulleins  Kernbrennstoffsteuer,,
57,2258,10,1,63604,1252574288.16,Zuschüsse zur Krankenversicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636041001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnullvier  Zuschüsse zur Krankenversicherung der Landwirte,Zuschüsse zur Krankenversicherung der Landwirte,636041001.0
58,1801,8,13,42201,1244363594.43,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Finanzen,422010813,Bundesministerium der Finanzen einsdreivierzweizweinulleins ,Bundesministerium der Finanzen einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422010813.0
60,4911,23,2,89603,1123317711.46,Bilaterale Technische Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896032302,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweiachtneunsechsnulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweiachtneunsechsnulldrei  Bilaterale Technische Zusammenarbeit,Bilaterale Technische Zusammenarbeit,896032301.0
61,2870,11,13,63685,1111422767.04,Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,Bundesministerium für Arbeit und Soziales,636851113,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachtfünf ,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachtfünf  Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten und Integrationsprojekten beschäftigten behinderten Menschen,"Zuschüsse zu den Beiträgen zur Rentenversicherung der in Werkstätten, bei anderen Leistungsanbietern nach § 60 SGB IX und Inklusionsbetrieben beschäftigten behinderten Menschen",636851102.0
63,1944,9,3,68311,1082428487.82,"Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",Bundesministerium für Wirtschaft und Klimaschutz,683110903,Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreisechsachtdreieinseins  Zuschüsse für den Absatz deutscher Steinkohle zur Verstromung, zum Absatz an die Stahlindustrie sowie zum Ausgleich von Belastungen infolge von Kapazitätsanpassungen",,
64,2627,11,2,27202,1051865049.54,Einnahmen aus Zuschüssen des Europäischen Sozialfonds,Bundesministerium für Arbeit und Soziales,272021102,Bundesministerium für Arbeit und Soziales nullzweizweisiebenzweinullzwei ,Bundesministerium für Arbeit und Soziales nullzweizweisiebenzweinullzwei  Einnahmen aus Zuschüssen des Europäischen Sozialfonds,Einnahmen aus Zuschüssen des Europäischen Sozialfonds,272021106.0
68,3568,12,22,89101,1019108000.0,Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891011222,Bundesministerium für Digitales und Verkehr zweizweiachtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr zweizweiachtneuneinsnulleins  Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für Investitionen in die Schienenwege der nicht bundeseigenen Eisenbahnen,891511210.0
69,3836,14,4,42201,1015919809.62,"Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Professorinnen, Professoren, Beamtinnen und Beamten",Bundesministerium der Verteidigung,422011404,Bundesministerium der Verteidigung nullviervierzweizweinulleins ,"Bundesministerium der Verteidigung nullviervierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Professorinnen, Professoren, Beamtinnen und Beamten",,
73,2823,11,10,68101,832151733.81,Versorgungsbezüge für Beschädigte und Hinterbliebene,Bundesministerium für Arbeit und Soziales,681011110,Bundesministerium für Arbeit und Soziales einsnullsechsachteinsnulleins ,Bundesministerium für Arbeit und Soziales einsnullsechsachteinsnulleins  Versorgungsbezüge für Beschädigte und Hinterbliebene,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",453011113.0
77,4000,14,67,43257,724979723.6,Versorgungsbezüge,Bundesministerium der Verteidigung,432571467,Bundesministerium der Verteidigung sechssiebenvierdreizweifünfsieben ,Bundesministerium der Verteidigung sechssiebenvierdreizweifünfsieben  Versorgungsbezüge,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",453011413.0
78,4902,23,2,68752,716669700.76,Zahlungen an Einrichtungen der Weltbankgruppe,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687522302,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweisechsachtsiebenfünfzwei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweisechsachtsiebenfünfzwei  Zahlungen an Einrichtungen der Weltbankgruppe,Zahlungen an Einrichtungen der Weltbankgruppe,687012304.0
79,1742,8,11,43257,706326917.94,Versorgungsbezüge,Bundesministerium der Finanzen,432570811,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben ,Bundesministerium der Finanzen einseinsvierdreizweifünfsieben  Versorgungsbezüge,Versorgungsbezüge,432570811.0
80,4010,14,68,43354,702393659.79,"Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",Bundesministerium der Verteidigung,433541468,Bundesministerium der Verteidigung sechsachtvierdreidreifünfvier ,"Bundesministerium der Verteidigung sechsachtvierdreidreifünfvier  Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge","Übergangsbeihilfen, Übergangsgebührnisse und Ausgleichsbezüge",433541403.0
81,5079,32,5,57505,700278564.74,Zinsen für Bundesschatzanweisungen,Bundesschuld,575053205,Bundesschuld nullfünffünfsiebenfünfnullfünf ,Bundesschuld nullfünffünfsiebenfünfnullfünf  Zinsen für Bundesschatzanweisungen,Zinsen für Bundesschatzanweisungen,575053205.0
82,4996,30,2,88260,695300000.0,Kompensationsmittel für die Abschaffung der GA Hochschulbau,Bundesministerium für Bildung und Forschung,882603002,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechsnull ,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechsnull  Kompensationsmittel für die Abschaffung der GA Hochschulbau,,
83,594,5,2,68760,680189000.0,Beitrag an die Vereinten Nationen,Auswärtiges Amt,687600502,Auswärtiges Amt nullzweisechsachtsiebensechsnull ,Auswärtiges Amt nullzweisechsachtsiebensechsnull  Beitrag an die Vereinten Nationen,Beitrag an die Vereinten Nationen,687100501.0
84,3596,12,25,66107,664404469.28,"Förderung von Maßnahmen zur energetischen Gebäudesanierung ""CO2-Gebäudesanierungsprogramm"" der KfW- Bankengruppe - Abwicklung",Bundesministerium für Digitales und Verkehr,661071225,Bundesministerium für Digitales und Verkehr zweifünfsechssechseinsnullsieben ,"Bundesministerium für Digitales und Verkehr zweifünfsechssechseinsnullsieben  Förderung von Maßnahmen zur energetischen Gebäudesanierung ""CO2-Gebäudesanierungsprogramm"" der KfW- Bankengruppe - Abwicklung",,
85,5124,60,2,12104,663771852.51,Anteil des Bundes am Reingewinn der Deutschen Bund,Allgemeine Finanzverwaltung,121046002,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier ,Allgemeine Finanzverwaltung nullzweieinszweieinsnullvier  Anteil des Bundes am Reingewinn der Deutschen Bund,,
86,4910,23,2,89602,663150000.0,"Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé  und Cotonou)",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896022302,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweiachtneunsechsnullzwei ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweiachtneunsechsnullzwei  Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé  und Cotonou)","Beitrag zu den ""Europäischen Entwicklungsfonds"" der Europäischen Union (Abkommen von Lomé und Cotonou)",896022303.0
87,3884,14,7,53256,654899998.83,Ausgaben für Aufträge und Dienstleistungen,Bundesministerium der Verteidigung,532561407,Bundesministerium der Verteidigung nullsiebenfünfdreizweifünfsechs ,Bundesministerium der Verteidigung nullsiebenfünfdreizweifünfsechs  Ausgaben für Aufträge und Dienstleistungen,Aufträge und Dienstleistungen im Bereich Informationstechnik,532011403.0
90,1920,9,1,89631,645040000.0,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Bundesministerium für Wirtschaft und Klimaschutz,896310901,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins ,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunsechsdreieins  Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,Beitrag bzw. Leistungen an die Europäische Weltraumorganisation (ESA) in Paris,896310901.0
91,3949,14,16,55412,619217924.61,"Beschaffung von Schiffen, Betriebswasserfahrzeugen Booten, schwimmendem und sonstigem Marinegerät",Bundesministerium der Verteidigung,554121416,Bundesministerium der Verteidigung einssechsfünffünfviereinszwei ,"Bundesministerium der Verteidigung einssechsfünffünfviereinszwei  Beschaffung von Schiffen, Betriebswasserfahrzeugen Booten, schwimmendem und sonstigem Marinegerät","Beschaffung von Schiffen, Betriebswasserfahrzeugen, Booten, schwimmendem und sonstigem Marinegerät",554121405.0
92,5152,60,2,68702,599000000.0,Zahlung an die Hellenische Republik,Allgemeine Finanzverwaltung,687026002,Allgemeine Finanzverwaltung nullzweisechsachtsiebennullzwei ,Allgemeine Finanzverwaltung nullzweisechsachtsiebennullzwei  Zahlung an die Hellenische Republik,,
94,3955,14,16,55418,588028506.33,Beschaffung des Großraumtransportflugzeuges A400M,Bundesministerium der Verteidigung,554181416,Bundesministerium der Verteidigung einssechsfünffünfviereinsacht ,Bundesministerium der Verteidigung einssechsfünffünfviereinsacht  Beschaffung des Großraumtransportflugzeuges A400M,Beschaffung des Großraumtransportflugzeuges A400M,554181405.0
96,4881,23,2,18601,565434450.24,Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,186012302,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweieinsachtsechsnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweieinsachtsechsnulleins  Tilgung von Darlehen der bilateralen Finanziellen Zusammenarbeit und Rückflüsse aus Treuhandbeteiligungen,Zinsen aus Darlehen der bilateralen Finanziellen Zusammenarbeit und Erträge aus Treuhandbeteiligungen,166012301.0
97,3257,12,10,74142,544088481.28,Erhaltung (Bundesstraßen),Bundesministerium für Digitales und Verkehr,741421210,Bundesministerium für Digitales und Verkehr einsnullsiebenviereinsvierzwei ,Bundesministerium für Digitales und Verkehr einsnullsiebenviereinsvierzwei  Erhaltung (Bundesstraßen),Erhaltung (Bundesstraßen),741421201.0
98,3246,12,10,52111,537704576.88,Betriebsdienst (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,521111210,Bundesministerium für Digitales und Verkehr einsnullfünfzweieinseinseins ,Bundesministerium für Digitales und Verkehr einsnullfünfzweieinseinseins  Betriebsdienst (Bundesautobahnen),Maßnahmen zur Lärmsanierung an bestehenden Schienenwegen der Eisenbahnen des Bundes,891051202.0
100,3607,12,25,88202,518200000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung,Bundesministerium für Digitales und Verkehr,882021225,Bundesministerium für Digitales und Verkehr zweifünfachtachtzweinullzwei ,Bundesministerium für Digitales und Verkehr zweifünfachtachtzweinullzwei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes zur Sozialen Wohnraumförderung,Ausgleichszahlungen des Bundes aus Forderungsverkauf,534011210.0
101,3198,12,9,53201,516834296.84,Ausgaben für den Einzug der streckenbezogenen Straßenbenutzungsgebühren für LKW durch Private,Bundesministerium für Digitales und Verkehr,532011209,Bundesministerium für Digitales und Verkehr nullneunfünfdreizweinulleins ,Bundesministerium für Digitales und Verkehr nullneunfünfdreizweinulleins  Ausgaben für den Einzug der streckenbezogenen Straßenbenutzungsgebühren für LKW durch Private,Ausgaben für den Einzug der streckenbezogenen Straßenbenutzungsgebühren,532241201.0
102,1898,9,1,68301,508173342.9,"Innovationsförderung, Zentrales Innovationsprogramm Mittelstand (ZIM)",Bundesministerium für Wirtschaft und Klimaschutz,683010901,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtdreinulleins ,"Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtdreinulleins  Innovationsförderung, Zentrales Innovationsprogramm Mittelstand (ZIM)","Zentrales Innovationsprogramm Mittelstand (ZIM), Innovationsprogramm für Geschäftsmodelle und Pionierlösungen (IGP)",683010901.0
105,299,4,4,54101,496375168.75,Zuschuss an den Bundesnachrichtendienst,Bundeskanzler und Bundeskanzleramt,541010404,Bundeskanzler und Bundeskanzleramt nullvierfünfviereinsnulleins ,Bundeskanzler und Bundeskanzleramt nullvierfünfviereinsnulleins  Zuschuss an den Bundesnachrichtendienst,Zuschuss an den Bundesnachrichtendienst,541010414.0
