,id,Zweckbestimmung,Ist 2012,Ist 2013,Ist 2014,Ist 2015,Ist 2016,Ist 2017,Ist 2018,Ist 2019,Ist 2020,Ist 2021,Ist 2022,Ist 2023
836,266016002,Erhebungskostenpauschale,1133777809.96,1085653855.01,1115945398.7,1285410461.63,1225812729.39,1022938037.53,1001452690.63,1024595926.8,964539916.41,1136990675.25,1630792938.24,1500177123.44
823,039016001,Luftverkehrsteuer,948404191.49,978409942.19,989743281.7,1022860973.26,1073694718.27,1120528722.69,1186797409.88,1182198295.44,292096194.47,565784502.39,1139825330.03,1485508933.17
799,575213205,Zinsen für Kassenverstärkungskredite,37834744.11,3962882.08,9394384.4,28124502.8,103727399.05,103271047.08,140246727.82,137894917.91,447457355.5,432300639.15,450607072.49,1328685251.72
800,111023208,Entgelte und sonstige Einnahmen aus Gewährleistungsmaßnahmen,843869661.07,1009806976.85,779958353.43,780259095.09,1093613945.61,562654441.27,811558001.37,763512637.58,910428319.64,1239858899.0,995992794.02,1090173365.24
819,035026001,Kaffeesteuer,1053544051.74,1021142549.2,1015579324.24,1031511953.75,1039823291.68,1057351871.23,1036568471.28,1060252206.19,1060308321.33,1058423929.14,1062540852.59,1030228371.84
754,685403003,MPG - Betrieb,546661500.0,566114500.0,590226500.0,633967000.0,689321000.0,726558000.0,766606000.0,812040000.0,858812000.0,969351000.0,984772000.0,1002850000.0
812,031026001,Energiesteuer (aus dem Verbrauch von anderen Heizstoffen als von Erdgas),1376448311.61,1466372373.8,1209241531.77,1235662632.92,1194918238.62,1244288014.42,1045933033.23,1195053109.95,1382710974.81,998365831.76,996944238.05,955579914.7
899,636426067,Erstattung an Sozialversicherungsträger für Rentenleistungen an Angehörige der ehemaligen Nationalen Volksarmee und ihre Hinterbliebenen,574671572.85,596423681.7,619294767.66,646516924.03,677987087.51,717283313.31,746910646.13,784522532.91,825333792.97,853966732.31,876160000.0,926599536.04
832,119996002,Vermischte Einnahmen,22369236.73,171412594.46,106000343.86,46953068.78,774734098.54,86208404.34,71510428.03,56216013.93,42685802.91,45490223.72,54134314.92,901358933.26
870,232436067,"Erstattungen der Länder im Beitrittsgebiet für Rentenleistungen an Angehörige der ehemaligen Deutschen Volkspolizei, der Feuerwehr und des Strafvollzugs und ihre Hinterbliebenen",789476249.51,790909095.07,796217040.25,805495508.96,824232520.93,839219501.86,865638694.04,886643156.82,904373840.84,869623919.07,857544586.39,880658374.26
900,636436067,"Erstattung an Sozialversicherungsträger für Rentenleistungen an Angehörige der ehemaligen Deutschen Volkspolizei, der Feuerwehr und des Strafvollzugs und ihre Hinterbliebenen",787175651.51,790597966.07,798430193.25,807934890.96,825443673.98,846242000.0,860256937.04,885051719.82,907694346.84,870485000.0,858705000.0,868952125.26
687,553491407,Betrieb der Heeresinstandsetzungslogistik (HIL),234327999.42,240460051.27,221576344.02,280526151.68,285370409.48,334350000.0,390923145.9,464265991.56,497627055.08,638075848.27,695040492.15,731011276.21
280,882010902,"Zuweisungen für betriebliche Investitionen und wirtschaftsnahe Infrastrukturmaßnahmen im Rahmen der Gemeinschaftsaufgabe ""Verbesserung der regionalen Wirtschaftsstruktur"" (GRW)",550916751.37,506309676.77,554475395.63,533052700.83,459377057.28,492949119.03,496283214.91,543199700.85,597514831.81,616585687.28,637060894.21,646934617.8
740,632503002,BAföG - Schülerinnen und Schüler,624666419.03,651131307.37,603340037.67,880721465.7,798794362.74,794588489.08,739381693.91,708473282.24,733983142.73,617176408.23,587987147.44,630162971.85
787,685603004,FhG - Betrieb,320431000.0,340453000.0,357776000.0,353276000.0,374397000.0,442644000.0,458923000.0,498515000.0,538168000.0,605890400.0,595753000.0,613531000.0
669,423711403,Nachversicherungsbeiträge für ausscheidende Berufssoldatinnen und Berufssoldaten sowie Soldatinnen und Soldaten auf Zeit,490294430.1,506380391.2,488073947.05,482745580.19,512594893.53,471944134.9,405574495.72,403285334.38,374393109.76,413210965.14,448242507.02,557621263.52
684,553191407,Betrieb des Bekleidungswesens,110105771.03,108764171.89,114801972.08,165208515.04,230422053.99,237805979.78,326820814.35,446144588.15,578885548.45,445764328.31,431963596.17,547175936.39
659,634131403,Zuweisungen an den Versorgungsfonds,107151232.11,142435946.4,157411450.77,187473856.76,225045238.83,270942794.34,313303687.89,371924122.54,425722925.37,460278349.64,495757000.0,546881000.0
686,553391407,Betrieb der Fahrzeuge des Flottenmanagements,396644774.09,370595724.45,350531283.91,313191825.75,336143576.56,321714805.72,339883189.29,363258963.41,356082072.88,363288330.78,434833608.95,529133434.34
284,683010903,Energieforschung,120783999.83,112959073.35,119824164.12,126277029.82,300630200.14,393319176.51,378455507.76,512183344.74,528142707.98,564322729.52,521124824.59,501960031.64
698,119991502,Vermischte Einnahmen,3200327.57,1818078.48,1651158.12,1434851.61,1580550.11,345159.46,1424689.88,358314.49,1762913.45,150178.36,69858.38,501271808.37
756,632503003,Zweckgebundene Zuweisungen an die Länder für Mitgliedseinrichtungen der Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e. V. (WGL),284186034.75,302191819.06,336075517.0,345162742.2,357700819.94,390186880.34,408312188.3,435167189.69,452987284.38,462263837.74,479837696.42,500151040.81
790,894703004,"HGF-Zentren - Investitionen von bis zu 
2 500 T€ im Einzelfall",200993810.0,422323300.0,432013324.0,485322543.0,478872500.0,485691800.0,536043400.0,486230207.0,524976238.99,543009941.71,494774436.02,487325153.74
902,636456067,Erstattung an Sozialversicherungsträger für Rentenleistungen an Angehörige des aufgelösten MfS/AfNS und ihre Hinterbliebenen,265288672.72,277464602.31,291618129.06,309484117.95,327615168.98,349816000.09,368751621.2,391016415.15,415049074.6,423270825.95,449280386.22,472373755.61
828,044066001,Solidaritätszuschlag zur Abgeltungsteuer auf Zins- und Veräußerungserträge,441152340.32,482184217.11,416350715.78,448022003.53,325707259.4,401023599.39,378949619.81,282324899.23,372246474.37,551409277.48,361304446.9,460650297.0
140,111020625,Luftsicherheitsgebühr,329182700.38,337849708.45,376020998.09,434356607.37,501332983.63,556365274.13,578367472.23,606158660.56,165975375.96,194876902.43,486009426.2,424118433.53
786,894503004,Naturwissenschaftliche Grundlagenforschung - Investitionen,173461992.73,168374542.09,139662307.7,140368262.69,219016047.7,157538865.79,254065630.15,283063255.08,245858788.95,340296739.73,340541087.59,383904543.6
779,685303004,Gesundheitsforschung und Gesundheitswirtschaft,250631172.38,229742586.78,209724398.67,219981275.51,239056744.35,275130452.06,321557572.34,345157395.66,1054399041.81,839694724.32,393199952.49,370451087.54
817,034016001,Schaumweinsteuer,449980524.83,434314935.59,411582458.1,429085212.86,400566599.24,367926974.91,377730174.74,383888325.95,405025159.44,340602956.88,352464098.74,360963319.68
760,687703003,"Leistungen für die Europäischen Forschungseinrichtungen CERN, ESO, ESRF und ILL",257018890.62,250730323.91,258759737.48,280223814.06,289948474.75,298111773.57,285987638.15,293970071.52,315238530.04,309913350.35,332027129.12,358360519.97
649,453011403,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",220322180.49,277193638.24,297350651.0,298911934.09,303900717.57,274395927.91,276772427.72,292213537.68,273702105.43,303842887.98,335647569.29,349488511.04
721,687042302,Förderung entwicklungswichtiger Vorhaben der politischen Stiftungen,247400000.0,249400000.0,254400000.0,230000000.0,260000000.0,271000000.0,311000000.0,319000000.0,334000000.0,358061790.0,351301730.0,340000000.0
681,514031407,Betriebsstoff für die Bundeswehr,209940992.64,205705657.04,194944977.45,106395463.53,106312558.14,116000435.23,150892995.08,139884616.78,99571568.14,140900836.15,335213604.23,338200933.21
456,882901003,"Bundesanteil zur Finanzierung der Gemeinschaftsaufgabe ""Verbesserung der Agrarstruktur und des Küstenschutzes"" (Investitionen)",409737855.51,399987688.33,388674472.71,384062392.72,363584059.42,380009873.05,369317292.79,392588144.5,403477514.11,382121967.13,395256079.0,324909151.05
746,882013003,Überregionale Forschungsförderung im Hochschulbereich,292304535.5,275444000.0,293748159.5,294991487.91,297999999.5,296018046.66,291081353.5,278258241.5,285522543.19,316277005.51,316740486.44,316750000.0
151,428010625,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,215506397.94,217409582.68,224881930.02,224468796.5,224827694.33,237304723.12,250270428.67,256896816.27,282533062.39,297696682.6,303052277.85,306020898.32
722,896042302,Förderung entwicklungswichtiger Vorhaben der Kirchen,216000000.0,218000000.0,223000000.0,225000000.0,255000000.0,261000000.0,301000000.0,301000000.0,269000000.0,309500000.0,312635680.0,301000000.0
728,681103002,Zuschüsse an Begabtenförderungswerke,175531700.63,198086455.78,232632939.5,232599475.35,243882922.5,262057711.85,266247491.55,264103367.35,286269898.92,276705346.1,287595206.66,293979977.62
791,685803004,Stilllegung und Rückbau kerntechnischer Versuchs- und Demonstrationsanlagen,191819871.13,159317702.91,197847685.44,186409260.26,202400433.36,215426130.56,230323430.94,225002557.9,260727890.61,261577055.93,276345856.64,279308116.65
772,683203004,"Kommunikationssysteme, IT-Sicherheit",52753071.83,56580690.4,53909113.22,56561319.13,64402149.8,72296135.22,79142410.6,75325402.39,77486550.34,119922563.73,202502873.78,278609527.07
831,119896002,Erlöse aus dem Verkauf von Sammlermünzen,335675729.37,239188107.23,221954110.85,262019874.14,268484670.79,357923707.01,275761538.16,300666732.99,343181853.72,345504680.97,291272850.92,276959950.12
770,683103004,Instrumente im Wissens- und Technologietransfer im Rahmen der Hightech-Strategie,135981603.26,162772513.94,130048131.87,121305698.8,115465482.62,108828873.55,110590705.16,105754033.72,95858085.32,90069967.75,98024681.53,274318001.13
727,681013002,Studenten- und Wissenschaftleraustausch sowie internationale Hochschul- und Wissenschaftskooperation,134870434.55,138894520.5,140499999.99,140044022.71,146954226.56,150692892.78,154173170.36,153741484.16,141140119.93,165929822.81,184920719.19,263454468.34
646,111041403,Einnahmen aus der Heilbehandlung Dritter,174249622.52,193774330.98,207252378.65,203149483.82,203882729.03,212926780.86,222440949.07,224286023.98,262643820.85,246497834.46,257685110.66,260030175.21
802,146013208,Einnahmen aus der Inanspruchnahme von Gewährleistungen aus dem Ausland,329284400.02,345504351.22,529313916.82,538705514.44,1402858676.5,624393715.63,782341209.87,925070593.87,309587318.76,334635646.2,381154078.57,252318307.82
798,575043205,Zinsen für Schuldscheindarlehen,537044218.36,536832557.42,535486582.14,525590671.97,655507886.82,452929307.42,417693725.33,355507759.98,313322634.98,287431984.98,265024648.0,249811398.0
803,871013208,"Entschädigungen und Kosten aus inlandsbezogenen Gewährleistungen, Zahlungen zur Abwendung oder Minderung von Schäden",427191659.38,265710767.7,170631533.7,171766757.56,120143761.61,194307268.19,148618567.37,83450709.87,94849744.13,237411980.93,95241827.5,246082676.7
225,428010633,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,52330278.57,53689102.52,54643264.16,70799000.18,81490161.9,95452380.1,176369009.98,251484707.2,261138334.37,249508691.84,248306640.01,243531730.38
841,540016002,"Prägekosten, Metallbeschaffungskosten, Kosten für den Vertrieb von Sammlermünzen, die Unterhaltung des Münzumlaufs und die Bekämpfung der Falschmünzerei",242116305.34,197100464.37,154600713.18,231040423.31,230039693.24,261515718.31,242829073.98,209631775.9,322905747.71,286994961.13,325369341.76,242393384.07
648,423021403,Wehrsold und Nebenleistungen der freiwillig Wehrdienstleistenden,215869155.45,128125074.01,119278800.09,124605445.47,126348897.78,124746659.69,116162832.19,104996183.45,195946042.5,201628385.66,214932388.78,240201672.57
651,525011403,Aus- und Fortbildung,104689071.02,101772770.63,101914626.53,108534781.92,112667791.14,131805122.5,150134861.81,170762987.77,169002787.45,181551547.16,207484650.52,232822136.33
29,687400504,"Goethe-Institut e. V., München - Betrieb und operative Mittel",198164000.0,191997086.22,196672913.78,212746255.0,220521039.93,216592705.0,227144947.02,238669033.25,254164787.57,268693447.61,236848717.25,231757257.69
776,683253004,Optische Technologien,110903020.99,106900590.06,81176314.47,99983000.0,97921000.0,94312240.94,94355401.1,94607666.61,91553947.56,197034834.43,238781695.2,230119583.4
755,894403003,MPG - Investitionen,130861376.58,147917500.0,157395500.0,151986000.0,141669000.0,152880000.0,162734000.0,168699000.0,174868000.0,199765000.0,215047000.0,228649000.0
788,894603004,FhG - Investitionen,142374000.0,149493000.0,156968000.0,186980000.0,189550000.0,199526000.0,204016000.0,211066000.0,210597000.0,200983000.0,237392150.0,228618248.31
158,518020625,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,114917662.92,120050411.97,119892460.08,120662059.83,134575347.58,154016011.83,164536942.38,172083256.85,177406654.34,191105177.09,206346337.76,215567255.07
221,422010633,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,40230493.77,41611696.42,44876071.29,52803015.95,78475428.17,107353451.86,107788227.05,114208632.9,138109886.02,160109323.03,174234333.76,206447405.92
664,514121403,"Arzneien, Verbandmittel, Brillen und orthopädische Hilfsmittel",106635832.36,114462941.57,113675788.12,118789267.3,123862135.92,138268496.32,145104508.15,158539090.89,154538388.69,157028398.87,173872194.81,194415088.35
782,685413004,Energietechnologien und effiziente Energienutzung - Forschungs- und Entwicklungsvorhaben,55808804.48,54310920.44,58346582.41,63792834.27,68745186.84,95942879.71,95602417.0,131651397.04,128030672.13,199621709.45,216229401.46,193043659.88
662,443151403,Behandlung bei zivilen Ärztinnen und Ärzten sowie Gesundheitseinrichtungen,131467332.46,136365772.09,140731484.16,142223911.96,141077271.95,139929355.43,141750885.92,151818327.71,155808474.57,162731577.38,170889290.34,191527065.76
278,686070902,Innovative Unternehmensgründungen,67038400.27,63435903.68,55780232.54,72707491.41,88671510.61,82562318.79,92992157.0,121718515.27,152815607.59,186652494.84,189878382.31,191336712.42
719,687012302,"Beiträge an die Vereinten Nationen, ihre Sonderorganisationen sowie andere internationale Einrichtungen und internationale Nichtregierungsorganisationen",108400000.0,118800000.0,84800000.0,91391612.82,122383321.06,124480158.55,142452297.92,172239534.19,233461418.75,266558123.64,187545954.63,188886066.78
674,681721403,Leistungen des Bundes nach dem Unterhaltssicherungsgesetz,35100106.09,31670076.75,29738700.59,43219283.57,98326112.2,102870362.7,121088017.08,141797021.08,177034567.32,195411301.49,177370053.3,186840106.65
73,428010615,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,44467885.97,47235442.41,70714445.62,100529677.13,87351388.86,115868594.65,138316889.71,152559813.53,174251613.62,181115921.81,186321629.64,185302356.6
689,553691407,"Betreibermodelle und Vorhaltecharter für Flugzeuge, Flugkörper und flugtechnisches Gerät",109046314.83,129311646.04,113588437.95,122735810.39,124407795.36,151260626.2,330860594.31,336901395.78,252873331.4,159872292.18,240112104.46,184539865.82
757,882503003,Zweckgebundene Zuweisungen an die Länder für Mitgliedseinrichtungen der Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e. V. (WGL),92176868.33,82060992.5,76170900.0,85453267.0,104392985.3,106239453.98,108415662.28,117744177.88,133815921.12,152411293.31,155179238.0,182015442.23
830,092016002,Münzeinnahmen,292715084.47,275786696.0,297170834.17,353354135.8,299529037.39,263412433.02,331014243.55,241509308.2,248042460.86,221025189.77,92317031.67,180574473.87
715,684041702,Zuschüsse an die Wohlfahrtsverbände für die Durchführung zentraler und internationaler Aufgaben einschließlich bundeszentraler Fortbildung,18800000.0,18800000.0,28505130.24,37766848.14,47595459.63,93712236.96,103761804.8,107545931.17,104769266.74,116640857.87,156713705.84,176643344.92
588,687011205,Beitrag zu den Sekretariatskosten der Euro-Controle-Route (ECR),10000.0,10000.0,10000.0,10000.0,122501007.78,133951343.04,135995282.89,136567564.12,132034874.49,148613367.04,158493330.34,172659779.96
455,632901003,"Bundesanteil zur Finanzierung der Gemeinschaftsaufgabe ""Verbesserung der Agrarstruktur und des Küstenschutzes"" (ohne Investitionen)",149135770.45,154594016.87,153660179.84,132282328.56,173287279.83,181648279.26,198463933.67,191672208.71,220852668.36,188265413.88,168863345.76,157733126.05
726,687762302,Förderung entwicklungswichtiger Vorhaben privater deutscher Träger,60357526.8,59250973.01,56038588.19,62311311.99,94726697.89,99708770.62,119518164.43,143424196.68,145945524.54,145097327.0,148985085.0,155540501.29
775,683243004,"Produktions- und Dienstleistungsforschung, Arbeiten und Kompetenzentwicklung",90189055.76,73189665.34,80773334.46,74420685.09,94161023.49,115481803.53,110228459.26,116219533.83,124941209.66,120888296.59,133065937.78,153728558.33
652,527011403,Dienstreisen,34435975.19,35045163.83,38870581.92,42192703.6,46606349.52,48110303.5,54167303.25,58208875.51,36309104.49,69355808.0,125232457.4,151164272.67
774,683233004,Elektroniksysteme,48321308.31,52179542.71,49884488.08,57943267.99,72939835.63,80219546.15,83448484.36,85002336.75,107328088.61,118379162.99,132103632.31,150876334.81
844,684036002,"Zahlungen nach § 49 b Bundeswahlgesetz, § 28 Europawahlgesetz und dem Parteiengesetz",134134830.9,139038161.12,138713536.69,142224500.26,140856219.0,143855326.69,143825726.3,198973142.28,169611026.87,145090027.66,214990823.81,144689559.33
149,422030625,Bezüge der Anwärterinnen und Anwärter sowie Nebenleistungen der Beamtinnen und Beamten auf Widerruf im Vorbereitungsdienst,20566636.94,23158018.61,30590265.89,37166547.03,50794994.68,75748996.86,99930727.64,115119823.6,126807754.35,149180385.42,155798629.9,141651530.22
773,683213004,"Softwaresysteme, Wissenstechnologien",130173406.26,108255321.82,104477729.0,108762873.86,108308253.55,130966826.6,130916813.46,115689899.25,148587802.99,154759012.78,149123461.31,137441807.01
738,685413002,Stärkung der Leistungsfähigkeit des Bildungswesens,62987706.42,82586340.66,85285960.63,87021852.67,96610758.66,97706192.12,115616986.91,133742985.89,130208762.6,126807301.58,138497339.64,135105316.53
435,422010918,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,88547583.35,93278645.51,99511816.64,107192458.53,110119504.23,113835333.15,117189949.38,120574363.87,121249256.17,124041862.4,125446400.32,133196539.92
70,422010615,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,44420970.66,47011318.08,59164334.46,72313304.14,69069509.19,86149722.24,101976406.35,105988064.51,114896614.25,117743238.21,117961733.74,130800359.05
257,422010812,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,24458657.49,84122859.32,88259408.07,91483824.72,89799871.67,94984972.07,99858019.98,105333617.87,111888778.81,118424266.56,122854690.2,128978776.8
777,683263004,"Neue Werkstoffe, Nanotechnologien",77224588.25,70217533.45,63638451.51,71701283.91,77834939.91,79072826.63,72453543.37,79272121.2,75610466.13,77817419.81,151151628.21,117916853.12
683,531011407,Kosten der Flugzieldarstellung und Charterkosten für Luftfahrzeuge,63325277.92,61705171.18,63433852.96,64500022.56,81592596.55,67000000.0,81999563.45,88950104.35,88989687.51,100584813.37,104339494.46,115626800.07
285,682110903,Zuwendungen an die Wismut GmbH - Betrieb,116500000.0,132500000.0,130050000.0,121511000.0,129800000.0,115900000.0,111800000.0,110700000.0,101800000.0,105400000.0,113650000.0,115350000.0
783,685423004,Umwelttechnologien und Nachhaltigkeit,138380109.03,132629746.73,93583800.41,105722875.38,100261373.03,105377218.06,114985652.82,115144113.83,117036967.87,117319140.7,129348292.46,112519450.4
155,517010625,"Bewirtschaftung der Grundstücke, Gebäude und Räume",51225795.65,50673812.74,54747630.9,45500780.36,59108162.85,62259706.87,65274887.35,73942075.69,80371258.75,86198734.88,103391313.05,109198496.59
854,632016003,Zahlungen nach dem Strafrechtlichen Rehabilitierungsgesetz,101172980.12,98811723.55,97695454.96,112842429.18,111571336.32,107367551.41,103837850.48,101729326.84,110441571.37,111184778.43,106601872.75,104926590.19
199,428010629,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,38919380.12,39993206.58,41367338.72,42342213.23,45599855.67,49768986.0,58799533.85,66215212.13,78373520.08,86591492.57,96868015.9,104542370.89
748,685103003,Sozial- und geisteswissenschaftliche Forschung,56552447.26,70237377.69,71532476.47,75639264.62,77750891.17,69711683.29,76810928.37,96869054.1,88237890.1,102063516.03,104631009.96,104408914.84
670,423721403,Sozialversicherungs- und Arbeitslosenversicherungsbeiträge für Wehrsoldempfänger,13015713.22,77405970.25,32106102.84,49576191.77,73875911.68,62583680.88,39748533.03,48030014.26,72496842.36,80022130.57,91766672.83,103860476.79
780,685313004,Lebenswissenschaftliche Grundlagenforschung,136279199.59,121491742.54,104324119.65,125205275.66,144652420.03,159281921.63,144721218.63,151165836.37,172307618.1,204004849.43,123987584.82,102244525.87
427,111010918,"Gebühren, sonstige Entgelte",70442176.08,93677122.16,20154958.55,3803962325.86,89200797.77,55676138.75,54967675.62,72559692.89,94898104.28,145016556.36,113869490.46,101296252.37
784,894403004,"Klimaforschung und Lebensraum Erde, Energie - Investitionen",19636288.74,66404112.4,70059222.24,36956567.66,45142988.13,18120845.38,11495923.28,5533218.65,6314730.16,26544824.81,29074759.85,100737193.22
